Experiment	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	R1	R2
DRX011556	DRR012600	2014-04-02 23:24:41	2014-03-27 08:05:18	26216809	943805124	0	36	650		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/DRR012600/DRR012600.1	TSB (early log)	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	DRP001057	PRJDB2335		247093	DRS011392	SAMD00010234	simple	426430	Staphylococcus aureus subsp. aureus str. Newman	SAMD00010234							no					UT_MGS	DRA001015		public	AB575DA15065B5677C69CDB6BB83F2AF	4BF3B159DC3D0AF10FBA0AC579831C08		
DRX011557	DRR012601	2014-04-02 23:24:41	2014-03-27 08:06:01	33989978	1223639208	0	36	845		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/DRR012601/DRR012601.1	TSB + 10% Bovine Serum ( early log )	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	DRP001057	PRJDB2335		247093	DRS011393	SAMD00010231	simple	426430	Staphylococcus aureus subsp. aureus str. Newman	SAMD00010231							no					UT_MGS	DRA001015		public	DCFEE2373B87EFFEC851C35507DCFA51	F3ED403B99626EC42278785AFA16ABE4		
DRX011558	DRR012602	2014-04-02 23:24:41	2014-03-27 08:05:41	27655098	995583528	0	36	687		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/DRR012602/DRR012602.1	TSB + 1% Surfantan ( early log )	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	DRP001057	PRJDB2335		247093	DRS011394	SAMD00010236	simple	426430	Staphylococcus aureus subsp. aureus str. Newman	SAMD00010236							no					UT_MGS	DRA001015		public	A53F82EA60FE5ADF9CE14B929D9CE0E6	CCD6637AA77C0F031841E3F543A8DE7D		
DRX011559	DRR012603	2014-04-02 23:24:41	2014-03-27 08:05:03	12993070	467750520	0	36	264		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/DRR012603/DRR012603.1	TSB (late log)	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	DRP001057	PRJDB2335		247093	DRS011395	SAMD00010233	simple	426430	Staphylococcus aureus subsp. aureus str. Newman	SAMD00010233							no					UT_MGS	DRA001015		public	68EB93D662F21875786CE2A33453EED8	3EF11F12DFFA8640A6D3C63F24AB5039		
DRX011560	DRR012604	2014-04-02 23:24:41	2014-03-27 08:05:25	13167447	474028092	0	36	271		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/DRR012604/DRR012604.1	TSB + 10% Bovine Serum ( late log )	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	DRP001057	PRJDB2335		247093	DRS011396	SAMD00010232	simple	426430	Staphylococcus aureus subsp. aureus str. Newman	SAMD00010232							no					UT_MGS	DRA001015		public	297328D7DB35343EDF31DA44C8F30374	921F3308F6391114AF79E74DD9664BF7		
DRX011561	DRR012605	2014-04-02 23:24:41	2014-03-27 08:06:07	10163222	365875992	0	36	207		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/DRR012605/DRR012605.1	TSB + 1% Surfantan ( late log )	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	DRP001057	PRJDB2335		247093	DRS011397	SAMD00010235	simple	426430	Staphylococcus aureus subsp. aureus str. Newman	SAMD00010235							no					UT_MGS	DRA001015		public	111BFE9CD862AC92481A5FBFBC4E0465	AF7DD0B16261F7CB6108EBE4EC7E388B		
DRX078090	DRR084259	2019-01-18 16:30:20	2019-01-18 16:31:22	24073797	866656692	0	36	629		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/DRR084259/DRR084259.1	1_RN4220-1-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004747	PRJDB5479		515996	DRS086253	SAMD00071757	simple	1280	Staphylococcus aureus	SAMD00071757							no					UT_GSPS	DRA005493		public	69797B56C7226BE4D8C02A8AD3E91EEA	A522A281177112883E453D297DEA609F		
DRX078091	DRR084260	2019-01-18 16:30:20	2019-01-18 16:32:13	20841672	750300192	0	36	542		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/DRR084260/DRR084260.1	2_RN4220-2-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004747	PRJDB5479		515996	DRS086254	SAMD00071758	simple	1280	Staphylococcus aureus	SAMD00071758							no					UT_GSPS	DRA005493		public	B29BCF8E2E6CA207B96DE183FED55240	5FB98589C299944F785BC229F99525F0		
DRX078092	DRR084261	2019-01-18 16:30:20	2019-01-18 16:31:52	35553662	1279931832	0	36	927		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/DRR084261/DRR084261.1	3_RN4220-3-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004747	PRJDB5479		515996	DRS086255	SAMD00071759	simple	1280	Staphylococcus aureus	SAMD00071759							no					UT_GSPS	DRA005493		public	82B66356ACA2779980ACC613173CC80C	F6BC964232E4CF153E5EC2238BAB44F0		
DRX078093	DRR084262	2019-01-18 16:30:20	2019-01-18 16:31:45	15933822	573617592	0	36	417		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/DRR084262/DRR084262.1	4_DcvfE-1-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004747	PRJDB5479		515996	DRS086256	SAMD00071760	simple	1280	Staphylococcus aureus	SAMD00071760							no					UT_GSPS	DRA005493		public	1B57268C1A3178A404EC23FB71AE127A	1B3B69EC14A454C7D3E14C0D29CE8B5A		
DRX078094	DRR084263	2019-01-18 16:30:20	2019-01-18 16:31:52	30638434	1102983624	0	36	799		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/DRR084263/DRR084263.1	5_DcvfE-2-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004747	PRJDB5479		515996	DRS086257	SAMD00071761	simple	1280	Staphylococcus aureus	SAMD00071761							no					UT_GSPS	DRA005493		public	81163E8436CB2F2F282F0F589D5BAA12	7116DBC2E59DB778C591F0D3E11DE036		
DRX078095	DRR084264	2019-01-18 16:30:20	2019-01-18 16:31:50	22656098	815619528	0	36	589		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/DRR084264/DRR084264.1	6_DcvfE-3-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004747	PRJDB5479		515996	DRS086258	SAMD00071762	simple	1280	Staphylococcus aureus	SAMD00071762							no					UT_GSPS	DRA005493		public	F5D2A983F7C4335E1FF5F3A9290AFFD4	0796640AD09B133EB0EE4517169F2AD0		
DRX078096	DRR084265	2019-01-18 16:30:20	2019-01-18 16:31:30	32478843	1169238348	0	36	846		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/DRR084265/DRR084265.1	7_DcvfE_pE-1-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004747	PRJDB5479		515996	DRS086259	SAMD00071763	simple	1280	Staphylococcus aureus	SAMD00071763							no					UT_GSPS	DRA005493		public	5B97B38F866CFB55240BB0FD738EF24D	6EE9630C4566CC52D91A6D33CE92ACE7		
DRX078097	DRR084266	2019-01-18 16:30:20	2019-01-18 16:31:25	11782840	424182240	0	36	307		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/DRR084266/DRR084266.1	8_DcvfE_pE-2-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004747	PRJDB5479		515996	DRS086260	SAMD00071764	simple	1280	Staphylococcus aureus	SAMD00071764							no					UT_GSPS	DRA005493		public	EBF77E3496F9C408DDB8BA5CFA6C6793	6443165BDC9B6F3DF53C4B699A66DA38		
DRX078098	DRR084267	2019-01-18 16:30:20	2019-01-18 16:31:53	23993238	863756568	0	36	625		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/DRR084267/DRR084267.1	9_DcvfE_pE-3-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004747	PRJDB5479		515996	DRS086261	SAMD00071765	simple	1280	Staphylococcus aureus	SAMD00071765							no					UT_GSPS	DRA005493		public	1C6B158582843A2579ECFD610F4050A8	6D5355079C4861FABECBE752A130A0C7		
DRX078099	DRR084268	2019-01-18 13:27:39	2019-01-18 13:38:17	20874499	751481964	0	36	545		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/DRR084268/DRR084268.1	10_MW2-1-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480		515997	DRS086068	SAMD00073682	simple	1280	Staphylococcus aureus	SAMD00073682							no					UT_GSPS	DRA005494		public	5ABAE0C6C6ECD01DC336E6EF9CC7EE43	4A8424E0D7A37A6E02DF8F8DB8E7F884		
DRX078100	DRR084269	2019-01-18 13:27:39	2019-01-18 13:35:32	16338302	588178872	0	36	389		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/DRR084269/DRR084269.1	11_MW2_F-1-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480		515997	DRS086069	SAMD00073683	simple	1280	Staphylococcus aureus	SAMD00073683							no					UT_GSPS	DRA005494		public	84DADBE86C764EECD0FFAC7B56DC5008	F91F934DFE1A579EA0F4C125846E97F2		
DRX078101	DRR084270	2019-01-18 13:27:39	2019-01-18 13:35:22	16943706	609973416	0	36	405		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/DRR084270/DRR084270.1	12_USA300-1-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480		515997	DRS086070	SAMD00073684	simple	1280	Staphylococcus aureus	SAMD00073684							no					UT_GSPS	DRA005494		public	9F4788349D7A6D44F68AE90336449F33	7B34BCC9F2BB503647BA78516CD2B872		
DRX078102	DRR084271	2019-01-18 13:27:39	2019-01-18 13:32:41	49374756	1777491216	0	36	1434		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/DRR084271/DRR084271.1	13_USA300_F-1-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480		515997	DRS086071	SAMD00073685	simple	1280	Staphylococcus aureus	SAMD00073685							no					UT_GSPS	DRA005494		public	5DF78F0AEE065275ED835D22EC7B6AB0	AA3190EA3E5A1F4AC1E38F86B5240DB6		
DRX078103	DRR084272	2019-01-18 13:27:39	2019-01-18 13:36:26	17923137	645232932	0	36	523		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/DRR084272/DRR084272.1	14_MW2-2-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480		515997	DRS086072	SAMD00073686	simple	1280	Staphylococcus aureus	SAMD00073686							no					UT_GSPS	DRA005494		public	2A8EF31F7AD44D7E91D28AF107C5C004	3C1E0B6C8FB3599A1AC249DD45477440		
