	BioProject	BioSample	Body_Site	project	base_media	treatment	growth_phase	isolate	reference_condition	skip	OD-600	NOTES	InsertDev	InsertSize	LibraryLayout	LibrarySelection	LibrarySource	LibraryStrategy	Manual Strain	Model	Platform	Project	ProjectID	ReleaseDate	Run	SRAStudy	Sample	ScientificName	Submission	TaxID	class_tax_id	species	species_tax_id	strain_tax_id	R1	R2	Swift	Treatment	full_name	passed_fastqc	passed_global_correlation	passed_number_replicates	passed_reads_mapped_to_CDS	passed_similar_replicates	condition_name	project_name	CenterName	Notes	SRA ID	Biosample	GEO Series	GEO Sample	PMID	passed_replicate_correlations	genetic_changes	name	condition
Cody_1	CodY regulon determination			codY iModulon	RPMI+10%LB	Mutant	exp	JE2	Control						PAIRED																						True		codY iModulon:RPMI+10%LB:Mutant:Exponential:JE2:bursa::CodY															True	bursa::CodY		RPMI+10%LB;Mutant;exp;JE2;bursa::CodY
Cody_2	CodY regulon determination			codY iModulon	RPMI+10%LB	Mutant	exp	JE2	Control						PAIRED																						True		codY iModulon:RPMI+10%LB:Mutant:Exponential:JE2:bursa::CodY															True	bursa::CodY		RPMI+10%LB;Mutant;exp;JE2;bursa::CodY
Cody_3	CodY regulon determination			codY iModulon	RPMI+10%LB	Control	exp	JE2	Control						PAIRED																				s3://sbrg-sequencing-files/2020-05-19-IGM-NovaSeq/SPH_HRS_JE_R1_S64_L002_R1_001.fastq.gz	s3://sbrg-sequencing-files/2020-05-19-IGM-NovaSeq/SPH_HRS_JE_R1_S64_L002_R2_001.fastq.gz	True		codY iModulon:RPMI+10%LB:Control:Exponential:JE2:WT	True	True		True		Control									True	WT		RPMI+10%LB;Control;exp;JE2;WT
Cody_4	CodY regulon determination			codY iModulon	RPMI+10%LB	Control	exp	JE2	Control						PAIRED																				s3://sbrg-sequencing-files/2020-05-19-IGM-NovaSeq/SPH_HRS_JE_R2_S65_L002_R1_001.fastq.gz	s3://sbrg-sequencing-files/2020-05-19-IGM-NovaSeq/SPH_HRS_JE_R2_S65_L002_R2_001.fastq.gz	True		codY iModulon:RPMI+10%LB:Control:Exponential:JE2:WT	True	True		True		Control									True	WT		RPMI+10%LB;Control;exp;JE2;WT
Metab_1	Metabolism			central metabolism	TSB	Control	exp	JE2	Control						PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1555_SP_37_R1_S64_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1555_SP_37_R1_S64_L001_R2_001.fastq.gz	True	Control	central metabolism:TSB:Control:Exponential:JE2:WT	True	True		True			central-metab								True	WT		TSB;Control;exp;JE2;WT
Metab_10	Metabolism			central metabolism	TSB	Mutant	exp	JE2	Control						PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1670_SP_24_R2_S51_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1670_SP_24_R2_S51_L001_R2_001.fastq.gz	True	Mutant	central metabolism:TSB:Mutant:Exponential:JE2:ccpA::bursa; NE1670	True	True		True			central-metab								True	ccpA::bursa	 NE1670	TSB;Mutant;exp;JE2;ccpA::bursa
Metab_11	Metabolism			central metabolism	TSB	2g/L glucose	exp	JE2	Control						PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1670_SP_31_GR1_S58_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1670_SP_31_GR1_S58_L001_R2_001.fastq.gz	True	ccpA-2gLGlucose	central metabolism:TSB:2g/L glucose:Exponential:JE2:ccpA::bursa; NE1670	True	True		True			central-metab								True	ccpA::bursa	 NE1670	TSB;2g/L glucose;exp;JE2;ccpA::bursa
Metab_12	Metabolism			central metabolism	TSB	2g/L glucose	exp	JE2	Control						PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1670_SP_32_GR2_S59_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1670_SP_32_GR2_S59_L001_R2_001.fastq.gz	True	ccpA-2gLGlucose	central metabolism:TSB:2g/L glucose:Exponential:JE2:ccpA::bursa; NE1670	True	True		True			central-metab								True	ccpA::bursa	 NE1670	TSB;2g/L glucose;exp;JE2;ccpA::bursa
Metab_13	Metabolism			central metabolism	TSB	Mutant	exp	JE2	Control						PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1555_SP_25_R1_S52_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1555_SP_25_R1_S52_L001_R2_001.fastq.gz	True	Mutant	central metabolism:TSB:Mutant:Exponential:JE2:codY::bursa; NE1555	True	True		True			central-metab								True	codY::bursa	 NE1555	TSB;Mutant;exp;JE2;codY::bursa
Metab_14	Metabolism			central metabolism	TSB	Mutant	exp	JE2	Control						PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1555_SP_26_R2_S53_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1555_SP_26_R2_S53_L001_R2_001.fastq.gz	True	Mutant	central metabolism:TSB:Mutant:Exponential:JE2:codY::bursa; NE1555	True	True		True			central-metab								True	codY::bursa	 NE1555	TSB;Mutant;exp;JE2;codY::bursa
Metab_15	Metabolism			central metabolism	TSB	2g/L glucose	exp	JE2	Control						PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE718_SP_33_R1_S60_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE718_SP_33_R1_S60_L001_R2_001.fastq.gz	True	codY-2gLGlucose	central metabolism:TSB:2g/L glucose:Exponential:JE2:codY::bursa; NE1555	True	True		True			central-metab								True	codY::bursa	 NE1555	TSB;2g/L glucose;exp;JE2;codY::bursa
Metab_16	Metabolism			central metabolism	TSB	2g/L glucose	exp	JE2	Control						PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE718_SP_34_R2_S61_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE718_SP_34_R2_S61_L001_R2_001.fastq.gz	True	codY-2gLGlucose	central metabolism:TSB:2g/L glucose:Exponential:JE2:codY::bursa; NE1555	True	True		True			central-metab								True	codY::bursa	 NE1555	TSB;2g/L glucose;exp;JE2;codY::bursa
