Sample	Reads passing filters
CM_1	11658091.0
CM_10	12089198.0
CM_11	11302992.0
CM_12	11227795.0
CM_13	10781277.0
CM_14	11002675.0
CM_15	10792731.0
CM_16	11743940.0
CM_2	9437496.0
CM_3	9373134.0
CM_4	9540388.0
CM_5	11324608.0
CM_6	11510239.0
CM_7	12057175.0
CM_8	11078747.0
CM_9	12738713.0
Cody_1	3381428.0
Cody_2	5091821.0
Cody_3	10222899.0
Cody_4	10955835.0
ERX4294041	6952605.0
ERX4294042	8584742.0
ERX4294043	8905340.0
ERX4294044	7303596.0
ERX4294045	7386071.0
ERX4294046	7854205.0
ERX4294047	7578150.0
ERX4294048	7156922.0
ERX4294049	7921870.0
ERX4294050	7099912.0
ERX4294051	8122717.0
ERX4294052	7483594.0
ERX5228512	13444263.0
ERX5228513	11555031.0
ERX5228514	14675191.0
ERX5228515	12061441.0
ERX5228516	9302999.0
ERX5228517	13464084.0
Metab_1	8307857.0
Metab_10	6171996.0
Metab_11	5046303.0
Metab_12	6436157.0
Metab_13	6462445.0
Metab_14	6058726.0
Metab_15	6863376.0
Metab_16	6294053.0
Metab_17	5625700.0
Metab_18	4629977.0
Metab_19	6770485.0
Metab_2	5248691.0
Metab_20	7073047.0
Metab_3	6437211.0
Metab_4	4992202.0
Metab_5	5382463.0
Metab_6	5491563.0
Metab_7	7288919.0
Metab_8	6706070.0
Metab_9	6672000.0
Mia_0	5445146.0
Mia_1	5919454.0
Mia_2	8201533.0
Mia_3	8470422.0
Mia_4	9068615.0
Mia_5	7633438.0
Mia_6	6942798.0
Muc_1	3665383.0
Muc_10	2994196.0
Muc_11	2986549.0
Muc_12	2857201.0
Muc_13	2687307.0
Muc_14	3142668.0
Muc_15	2611791.0
Muc_16	2549170.0
Muc_17	3228279.0
Muc_18	4153267.0
Muc_19	3154388.0
Muc_2	2876582.0
Muc_20	2965448.0
Muc_21	3762292.0
Muc_22	2899575.0
Muc_23	2869102.0
Muc_24	3102362.0
Muc_3	2638150.0
Muc_4	3043225.0
Muc_5	2895117.0
Muc_6	2931642.0
Muc_7	2594033.0
Muc_8	2975457.0
Muc_9	2631463.0
SG_1	11810431.0
SG_2	10703548.0
SG_3	9197377.0
SG_4	9698832.0
SG_5	12514013.0
SG_6	10756174.0
SG_7	8874951.0
SG_8	10312112.0
SRX1357231	62502911.0
SRX1357232	53889984.0
SRX1357235	42750886.0
SRX1357236	53812228.0
SRX1357239	26464778.0
SRX1357240	40364933.0
SRX1357243	41841175.0
SRX1357244	47690073.0
SRX1549383	4638216.0
SRX1549384	3731894.0
SRX1983453	12932870.0
SRX2629499	47453785.0
SRX2629500	47354054.0
SRX2722002	3216982.0
SRX2722003	3548695.0
SRX2722004	3704488.0
SRX2722005	3905929.0
