Sample	Unique Reads	Duplicate Reads
CM_1	1692537.0	9953575.0
CM_10	1659551.0	10410928.0
CM_11	1695787.0	9587984.0
CM_12	1701632.0	9504770.0
CM_13	1752145.0	9008587.0
CM_14	1781697.0	9204397.0
CM_15	1663897.0	9106720.0
CM_16	1746372.0	9975659.0
CM_2	1567419.0	7860915.0
CM_3	1504565.0	7857117.0
CM_4	1560053.0	7967759.0
CM_5	1738738.0	9567597.0
CM_6	1774984.0	9715458.0
CM_7	1861804.0	10174923.0
CM_8	1772872.0	9288562.0
CM_9	1836219.0	10880526.0
Cody_1	946317.0	2433501.0
Cody_2	1241840.0	3846765.0
Cody_3	1842629.0	8366106.0
Cody_4	1672352.0	9269339.0
ERX4294041	1027367.0	5914059.0
ERX4294042	1337354.0	7234737.0
ERX4294043	1422538.0	7466646.0
ERX4294044	1253443.0	6041162.0
ERX4294045	1274214.0	6104482.0
ERX4294046	1392800.0	6448400.0
ERX4294047	1141494.0	6426244.0
ERX4294048	1114084.0	6021076.0
ERX4294049	1166176.0	6746160.0
ERX4294050	1078048.0	6010017.0
ERX4294051	1361064.0	6750495.0
ERX4294052	1358102.0	6113351.0
ERX5228512	1571954.0	11871144.0
ERX5228513	1406829.0	10147856.0
ERX5228514	1699242.0	12975686.0
ERX5228515	1428013.0	10632196.0
ERX5228516	1208398.0	8094316.0
ERX5228517	1511228.0	11952603.0
Metab_1	1509678.0	6794289.0
Metab_10	1246141.0	4922518.0
Metab_11	1086275.0	3957380.0
Metab_12	1252541.0	5179965.0
Metab_13	1331579.0	5127406.0
Metab_14	1263842.0	4792209.0
Metab_15	1132836.0	5726914.0
Metab_16	1128980.0	5161400.0
Metab_17	1221979.0	4400716.0
Metab_18	971206.0	3656767.0
Metab_19	1351065.0	5416055.0
Metab_2	1067666.0	4178773.0
Metab_20	1156827.0	5912951.0
Metab_3	1289490.0	5144470.0
Metab_4	1101778.0	3887878.0
Metab_5	1252125.0	4127556.0
Metab_6	1172861.0	4315376.0
Metab_7	1195084.0	6089553.0
Metab_8	1396323.0	5306140.0
Metab_9	1354395.0	5313843.0
Mia_0	1253404.0	4189265.0
Mia_1	1256088.0	4661038.0
Mia_2	1509294.0	6669823.0
Mia_3	1583980.0	6861722.0
Mia_4	1544133.0	7495110.0
Mia_5	1338643.0	6276386.0
Mia_6	1326245.0	5597684.0
Muc_1	1138944.0	2508344.0
Muc_10	993879.0	1992884.0
Muc_11	986409.0	1991245.0
Muc_12	964278.0	1887296.0
Muc_13	868066.0	1771112.0
Muc_14	923634.0	2186408.0
Muc_15	863278.0	1688741.0
Muc_16	925029.0	1539985.0
Muc_17	1107845.0	2101962.0
Muc_18	1237183.0	2897281.0
Muc_19	907650.0	2235714.0
Muc_2	934687.0	1934582.0
Muc_20	924829.0	2025574.0
Muc_21	970079.0	2772363.0
Muc_22	900156.0	1983963.0
Muc_23	864513.0	1990289.0
Muc_24	923757.0	2156153.0
Muc_3	906151.0	1724457.0
Muc_4	1015560.0	2015557.0
Muc_5	938913.0	1948718.0
Muc_6	923192.0	2002864.0
Muc_7	838849.0	1749825.0
Muc_8	914100.0	2056191.0
Muc_9	893338.0	1729754.0
SG_1	3371971.0	8434236.0
SG_2	2928932.0	7770450.0
SG_3	3009667.0	6183981.0
SG_4	1113306.0	8536477.0
SG_5	3365481.0	9142954.0
SG_6	2856246.0	7895020.0
SG_7	1663293.0	7207388.0
SG_8	1846952.0	8460232.0
SRX1357231	7432831.0	50557408.0
SRX1357232	5367679.0	39944506.0
SRX1357235	3149978.0	38313864.0
SRX1357236	5472468.0	45319212.0
SRX1357239	6204255.0	18983418.0
SRX1357240	9770739.0	28935009.0
SRX1357243	10489831.0	30257305.0
SRX1357244	11253141.0	35166468.0
SRX1549383	2967427.0	1473743.0
SRX1549384	2443963.0	960589.0
SRX1983453	703580.0	4132686.0
SRX2629499	7505361.0	39015339.0
SRX2629500	17142085.0	29299047.0
SRX2722002	724748.0	2487955.0
SRX2722003	712131.0	2832242.0
SRX2722004	641697.0	3058196.0
SRX2722005	774551.0	3125711.0
SRX2722006	959137.0	3295349.0
