Sample	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_FragmentLength	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity
CM_1	9573660.0	445846.0	215481.0	108687.0	581175.0	412630.0	308633.0
CM_10	9746725.0	773796.0	236522.0	42649.0	743766.0	295972.0	231049.0
CM_11	9135613.0	456917.0	218861.0	55752.0	926859.0	294368.0	195401.0
CM_12	9136814.0	597629.0	227395.0	50855.0	693050.0	289585.0	211074.0
CM_13	9236278.0	35805.0	218684.0	64548.0	604227.0	353397.0	247793.0
CM_14	9403095.0	43960.0	227543.0	60343.0	636928.0	364182.0	250043.0
CM_15	9257473.0	49012.0	195586.0	54494.0	628853.0	325428.0	259771.0
CM_16	9914422.0	168940.0	227965.0	46974.0	766325.0	347796.0	249609.0
CM_2	7881669.0	208880.0	182277.0	99491.0	435977.0	350339.0	269701.0
CM_3	7407624.0	481492.0	177629.0	88556.0	659029.0	315942.0	231410.0
CM_4	7983919.0	186234.0	170617.0	96529.0	511617.0	322564.0	256332.0
CM_5	9098678.0	626381.0	239480.0	79604.0	637329.0	358778.0	266085.0
CM_6	9610108.0	289520.0	227504.0	71228.0	631379.0	402123.0	258580.0
CM_7	10143478.0	47839.0	251384.0	73620.0	859681.0	400896.0	259829.0
CM_8	9410788.0	23376.0	215705.0	70055.0	670141.0	407530.0	263839.0
CM_9	10701588.0	186499.0	263184.0	83550.0	798918.0	400027.0	282979.0
Cody_1	2393024.0	6982.0	683483.0	18585.0	124909.0	136066.0	16769.0
Cody_2	3588754.0	8413.0	1059574.0	34034.0	176998.0	191677.0	29155.0
Cody_3	7517600.0	414.0	477257.0	623994.0	808403.0	345781.0	435286.0
Cody_4	8233957.0	1182.0	313795.0	499893.0	994347.0	402527.0	495990.0
ERX4294041	5139818.0	40855.0	293565.0	43376.0	1076822.0	190153.0	156837.0
ERX4294042	6355577.0	25798.0	314352.0	41692.0	1420922.0	233041.0	180709.0
ERX4294043	6678350.0	34375.0	420075.0	21922.0	1305802.0	249731.0	178929.0
ERX4294044	5849142.0	15517.0	217019.0	34833.0	753365.0	251729.0	173000.0
ERX4294045	5888184.0	37303.0	209854.0	49449.0	742924.0	252160.0	198822.0
ERX4294046	6216288.0	24195.0	296146.0	24106.0	776827.0	299767.0	203871.0
ERX4294047	5884749.0	43742.0	247560.0	28858.0	1021734.0	200704.0	140391.0
ERX4294048	5337131.0	34126.0	503888.0	11959.0	984568.0	173752.0	89736.0
ERX4294049	6102431.0	32465.0	231636.0	37178.0	1117330.0	241707.0	149589.0
ERX4294050	5493719.0	35439.0	308850.0	25770.0	854453.0	229087.0	140747.0
ERX4294051	6475080.0	33187.0	250527.0	24616.0	875225.0	251719.0	201205.0
ERX4294052	5802740.0	23892.0	319770.0	36108.0	907904.0	215595.0	165444.0
ERX5228512	10886894.0	3418.0	57975.0	0.0	1978458.0	503631.0	12722.0
ERX5228513	9268712.0	4777.0	63374.0	0.0	1770480.0	435730.0	11612.0
ERX5228514	12007900.0	5889.0	60253.0	0.0	2045614.0	541565.0	13707.0
ERX5228515	9555437.0	10207.0	53285.0	0.0	1934630.0	495908.0	10742.0
ERX5228516	7550116.0	1770.0	50652.0	0.0	1346414.0	345728.0	8034.0
ERX5228517	11087734.0	1660.0	58875.0	0.0	1814054.0	490245.0	11263.0
Metab_1	5701939.0	1474757.0	304463.0	73266.0	373847.0	204534.0	171161.0
Metab_10	4672167.0	589375.0	207586.0	52789.0	349478.0	159277.0	137987.0
Metab_11	3062767.0	1299633.0	210231.0	41329.0	227546.0	99998.0	102151.0
Metab_12	4723832.0	836156.0	202599.0	43575.0	345304.0	147651.0	133389.0
Metab_13	4789298.0	728102.0	240431.0	56280.0	288412.0	194325.0	162137.0
Metab_14	4244954.0	952742.0	241559.0	49491.0	253412.0	166742.0	147151.0
Metab_15	4194833.0	1860118.0	233794.0	56865.0	210982.0	154346.0	148812.0
Metab_16	3783961.0	1805479.0	202900.0	44355.0	213257.0	120279.0	120149.0
Metab_17	3618319.0	1243730.0	218333.0	44541.0	259307.0	130583.0	107882.0
Metab_18	2830919.0	1187706.0	189266.0	30481.0	193964.0	103819.0	91818.0
Metab_19	4547175.0	1392218.0	212954.0	53441.0	287795.0	138464.0	135073.0
Metab_2	2880135.0	1728451.0	205495.0	57238.0	174955.0	103648.0	96517.0
Metab_20	3160527.0	3206454.0	242741.0	33131.0	253105.0	94079.0	79741.0
Metab_3	4262215.0	1352980.0	221136.0	52115.0	262438.0	154011.0	129065.0
Metab_4	3524996.0	761866.0	211878.0	49695.0	202748.0	125442.0	113031.0
Metab_5	4208200.0	388612.0	173355.0	50165.0	294638.0	141867.0	122844.0
Metab_6	4273125.0	395098.0	190979.0	58626.0	288030.0	147636.0	134743.0
Metab_7	4486154.0	1960035.0	222050.0	48443.0	320935.0	120805.0	126215.0
Metab_8	4439736.0	1438083.0	234814.0	45671.0	286354.0	132724.0	125081.0
Metab_9	4568389.0	1184760.0	230636.0	54520.0	338054.0	157650.0	134229.0
Mia_0	4510384.0	10326.0	97958.0	8151.0	613677.0	169780.0	32393.0
Mia_1	4947779.0	6844.0	99047.0	9617.0	639050.0	179282.0	35507.0
Mia_2	6807821.0	26654.0	127928.0	97191.0	400594.0	387667.0	331262.0
Mia_3	6965026.0	140752.0	156746.0	87216.0	427025.0	356045.0	312892.0
Mia_4	7495212.0	163.0	189557.0	142304.0	734625.0	238419.0	238963.0
Mia_5	6335788.0	287.0	150825.0	178890.0	398137.0	269804.0	281298.0
Mia_6	5802415.0	10988.0	133269.0	148413.0	367890.0	226700.0	234254.0
Muc_1	3004124.0	37090.0	112081.0	0.0	405754.0	83604.0	4635.0
Muc_10	2624543.0	15806.0	74392.0	0.0	200710.0	67069.0	4243.0
Muc_11	2570623.0	22834.0	75304.0	0.0	238103.0	66641.0	4149.0
Muc_12	2481233.0	46361.0	62584.0	0.0	196531.0	60897.0	3968.0
Muc_13	1665944.0	63856.0	239570.0	0.0	624465.0	42878.0	2465.0
