Sample	Sense	Antisense	Undetermined
Mia_0	7.829999999999999	37.1	55.06999999999999
Mia_1	7.8	24.5	67.7
Mia_2	9.93	32.5	57.57
Mia_3	9.74	30.81	59.45
Mia_4	8.16	17.1	74.74
Mia_5	9.950000000000001	14.21	75.84
Mia_6	10.100000000000001	9.92	79.99000000000001
Muc_1	18.5	30.18	51.32
Muc_10	17.61	25.319999999999997	57.06
Muc_11	16.85	24.19	58.96
Muc_12	17.330000000000002	27.52	55.15
Muc_13	10.5	73.3	16.2
Muc_14	10.38	72.44	17.18
Muc_15	10.15	72.63	17.22
Muc_16	9.93	73.38	16.689999999999998
Muc_17	10.17	75.52	14.31
Muc_18	9.76	74.91	15.329999999999998
Muc_19	9.92	74.61	15.47
Muc_2	19.28	25.130000000000003	55.589999999999996
Muc_20	10.89	73.37	15.740000000000002
Muc_21	7.7299999999999995	78.84	13.420000000000002
Muc_22	8.33	78.4	13.28
Muc_23	8.85	76.88000000000001	14.27
Muc_24	8.19	78.3	13.51
Muc_3	19.59	28.73	51.68000000000001
Muc_4	19.75	29.189999999999998	51.05
Muc_5	18.9	30.39	50.71
Muc_6	20.330000000000002	31.75	47.92
Muc_7	17.09	31.65	51.27
Muc_8	17.19	32.93	49.88
Muc_9	16.939999999999998	23.93	59.13
SG_5	0.0	100.0	0.0
SRX1357231	0.0	100.0	0.0
SRX1357235	33.33	50.0	16.669999999999998
SRX1357236	50.0	25.0	25.0
SRX1357239	0.0	60.0	40.0
SRX1357240	20.0	20.0	60.0
SRX1357243	66.67	33.33	0.0
SRX1357244	0.0	66.67	33.33
SRX1549383	19.55	41.22	39.23
SRX1549384	19.17	37.85	42.980000000000004
SRX1983453	0.0	66.67	33.33
SRX2722002	3.2300000000000004	36.24	60.540000000000006
SRX2722003	2.83	32.300000000000004	64.87
SRX2722004	3.17	22.66	74.17
SRX2722005	1.76	5.13	93.11
SRX2722006	1.8900000000000001	6.02	92.09
SRX2722007	2.62	7.62	89.77000000000001
SRX2722008	4.3999999999999995	11.65	83.96000000000001
SRX2722009	3.0	12.47	84.53
SRX2722010	10.6	34.17	55.24
SRX2722011	10.290000000000001	26.14	63.57000000000001
SRX2722012	9.65	30.459999999999997	59.9
SRX2722013	7.580000000000001	12.139999999999999	80.28
SRX2722014	5.81	11.17	83.02000000000001
SRX2722015	7.180000000000001	12.120000000000001	80.69
SRX2722016	4.81	9.45	85.72999999999999
SRX2722017	5.609999999999999	12.27	82.12
SRX2722018	5.07	12.02	82.92
SRX3489448	18.67	23.580000000000002	57.75
SRX3489449	18.25	22.68	59.07
SRX3489450	20.9	21.98	57.11000000000001
SRX3489451	26.46	19.17	54.37
SRX3489452	24.5	18.279999999999998	57.220000000000006
SRX3489453	25.629999999999995	15.290000000000001	59.08
SRX4065827	9.56	27.66	62.78
SRX4065829	8.33	26.400000000000002	65.27
SRX4065834	6.4399999999999995	23.35	70.21
SRX4065836	8.94	30.049999999999997	61.0
SRX4065848	9.89	13.05	77.06
SRX4913542	32.16	21.29	46.550000000000004
SRX4913543	19.64	13.43	66.94
SRX5014557	8.690000000000001	30.69	60.61
SRX5014562	21.36	22.770000000000003	55.87
SRX5014564	16.150000000000002	25.040000000000003	58.8
SRX5014568	18.13	26.419999999999998	55.45
SRX5014569	8.28	27.37	64.35
SRX5014570	19.38	29.04	51.580000000000005
SRX5014574	9.33	26.919999999999998	63.74999999999999
SRX5014577	6.04	23.24	70.72
SRX5014579	8.870000000000001	12.7	78.42
SRX5014581	19.5	32.18	48.32
SRX5014583	19.38	23.07	57.56
SRX5014587	15.340000000000002	35.54	49.120000000000005
SRX5014588	16.11	33.47	50.41
SRX502154	34.27	34.56	31.169999999999998
SRX502155	26.31	26.650000000000002	47.04
SRX502158	37.8	40.9	21.29
