Sample	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage
CM_1	11646112.0	11430631.0	98.15	215481.0	1.85
CM_10	12070479.0	11833957.0	98.04	236522.0	1.96
CM_11	11283771.0	11064910.0	98.06	218861.0	1.94
CM_12	11206402.0	10979007.0	97.97	227395.0	2.03
CM_13	10760732.0	10542048.0	97.97	218684.0	2.03
CM_14	10986094.0	10758551.0	97.93	227543.0	2.07
CM_15	10770617.0	10575031.0	98.18	195586.0	1.82
CM_16	11722031.0	11494066.0	98.06	227965.0	1.94
CM_2	9428334.0	9246057.0	98.07	182277.0	1.93
CM_3	9361682.0	9184053.0	98.1	177629.0	1.9
CM_4	9527812.0	9357195.0	98.21	170617.0	1.79
CM_5	11306335.0	11066855.0	97.88	239480.0	2.12
CM_6	11490442.0	11262938.0	98.02	227504.0	1.98
CM_7	12036727.0	11785343.0	97.91	251384.0	2.09
CM_8	11061434.0	10845729.0	98.05	215705.0	1.95
CM_9	12716745.0	12453561.0	97.93	263184.0	2.07
Cody_1	3379818.0	2696335.0	79.78	683483.0	20.22
Cody_2	5088605.0	4029031.0	79.18	1059574.0	20.82
Cody_3	10208735.0	9731478.0	95.33	477257.0	4.67
Cody_4	10941691.0	10627896.0	97.13	313795.0	2.87
Metab_1	8303967.0	7999504.0	96.33	304463.0	3.67
Metab_10	6168659.0	5961073.0	96.63	207586.0	3.37
Metab_11	5043655.0	4833424.0	95.83	210231.0	4.17
Metab_12	6432506.0	6229907.0	96.85	202599.0	3.15
Metab_13	6458985.0	6218554.0	96.28	240431.0	3.72
Metab_14	6056051.0	5814492.0	96.01	241559.0	3.99
Metab_15	6859750.0	6625956.0	96.59	233794.0	3.41
Metab_16	6290380.0	6087480.0	96.77	202900.0	3.23
Metab_17	5622695.0	5404362.0	96.12	218333.0	3.88
Metab_18	4627973.0	4438707.0	95.91	189266.0	4.09
Metab_19	6767120.0	6554166.0	96.85	212954.0	3.15
Metab_2	5246439.0	5040944.0	96.08	205495.0	3.92
Metab_20	7069778.0	6827037.0	96.57	242741.0	3.43
Metab_3	6433960.0	6212824.0	96.56	221136.0	3.44
Metab_4	4989656.0	4777778.0	95.75	211878.0	4.25
Metab_5	5379681.0	5206326.0	96.78	173355.0	3.22
Metab_6	5488237.0	5297258.0	96.52	190979.0	3.48
Metab_7	7284637.0	7062587.0	96.95	222050.0	3.05
Metab_8	6702463.0	6467649.0	96.5	234814.0	3.5
Metab_9	6668238.0	6437602.0	96.54	230636.0	3.46
Mia_0	5442669.0	5344711.0	98.2	97958.0	1.8
Mia_1	5917126.0	5818079.0	98.33	99047.0	1.67
Mia_2	8179117.0	8051189.0	98.44	127928.0	1.56
Mia_3	8445702.0	8288956.0	98.14	156746.0	1.86
Mia_4	9039243.0	8849686.0	97.9	189557.0	2.1
Mia_5	7615029.0	7464204.0	98.02	150825.0	1.98
Mia_6	6923929.0	6790660.0	98.08	133269.0	1.92
SG_1	11806207.0	10935121.0	92.62	871086.0	7.38
SG_2	10699382.0	9950165.0	93.0	749217.0	7.0
SG_3	9193648.0	8462173.0	92.04	731475.0	7.96
SG_4	9649783.0	8900390.0	92.23	749393.0	7.77
SG_5	12508435.0	11627382.0	92.96	881053.0	7.04
SG_6	10751266.0	9995007.0	92.97	756259.0	7.03
SG_7	8870681.0	8223488.0	92.7	647193.0	7.3
SG_8	10307184.0	9525474.0	92.42	781710.0	7.58
Vir_1	4561685.0	3507454.0	76.89	1054231.0	23.11
Vir_10	4257162.0	3224985.0	75.75	1032177.0	24.25
Vir_11	3683488.0	3009773.0	81.71	673715.0	18.29
Vir_12	4604981.0	3706719.0	80.49	898262.0	19.51
Vir_13	4298140.0	3501199.0	81.46	796941.0	18.54
Vir_14	4255947.0	3417402.0	80.3	838545.0	19.7
Vir_15	5190859.0	4133185.0	79.62	1057674.0	20.38
Vir_16	4710499.0	3706645.0	78.69	1003854.0	21.31
Vir_17	4546657.0	3680969.0	80.96	865688.0	19.04
Vir_18	3920051.0	3167600.0	80.81	752451.0	19.19
Vir_19	3191187.0	2339295.0	73.3	851892.0	26.7
Vir_2	4549226.0	3251872.0	71.48	1297354.0	28.52
Vir_20	3995473.0	3109186.0	77.82	886287.0	22.18
Vir_3	4458789.0	3424730.0	76.81	1034059.0	23.19
Vir_4	3247069.0	2786904.0	85.83	460165.0	14.17
Vir_5	3611607.0	2910145.0	80.58	701462.0	19.42
Vir_6	3675344.0	2935548.0	79.87	739796.0	20.13
Vir_7	3813725.0	3018409.0	79.15	795316.0	20.85
Vir_8	4084342.0	3215649.0	78.73	868693.0	21.27
Vir_9	3899916.0	3366103.0	86.31	533813.0	13.69
