Sample	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
CM_1	11658091	3809633	11658091	466323640	348223	461385453	1.058961325657863
CM_10	12089198	3911994	12089198	483567920	393091	478417958	1.064992483372346
CM_11	11302992	4701193	11302992	452119680	1180971	444726858	1.6351471362626817
CM_12	11227795	3666672	11227795	449111800	354203	444296062	1.0722804433105522
CM_13	10781277	3551180	10781277	431251080	321674	426663402	1.0638067271622833
CM_14	11002675	3633721	11002675	440107000	338343	435400478	1.0694040312923903
CM_15	10792731	3507536	10792731	431709240	321387	427130105	1.0606988629661944
CM_16	11743940	3832690	11743940	469757600	363660	464739074	1.0683224709935508
CM_2	9437496	3088359	9437496	377499840	208108	373579905	1.0383938175973797
CM_3	9373134	3071176	9373134	374925360	220073	370992523	1.0489653193905049
CM_4	9540388	3102925	9540388	381615520	217182	377651834	1.038659538794439
CM_5	11324608	3725837	11324608	452984320	384801	448068428	1.0852234355484975
CM_6	11510239	4926264	11510239	460409560	1251705	452666516	1.6817730717841741
CM_7	12057175	4007143	12057175	482287000	380577	477073747	1.0809441266299942
CM_8	11078747	4787777	11078747	443149880	1071574	435786222	1.6616630924056666
CM_9	12738713	5476472	12738713	509548520	1315504	501002279	1.677218295129186
Cody_1	3381428	1180295	3381428	510595628	296362	508574993	0.3957407563231231
Cody_2	5091821	2232033	5091821	768864971	1258389	764249067	0.6003530104897964
Cody_3	10222899	3470245	10222899	521367849	316851	516850870	0.8663708375312572
Cody_4	10955835	4721597	10955835	558747585	1244437	551335727	1.326512757992502
ERX4294041	6952605	9101	6952605	486682350	62835	486606829	0.015517513630810734
ERX4294042	8584742	11395	8584742	600931940	76766	600840579	0.015203219186518858
ERX4294043	8905340	12471	8905340	623373800	86063	623271893	0.01634765529125542
ERX4294044	7303596	9245	7303596	511251720	59536	511180691	0.01389315619319579
ERX4294045	7386071	28627	7386071	517024970	748728	516239111	0.15199633394882262
ERX4294046	7854205	10314	7854205	549794350	75276	549705185	0.016217882195406336
ERX4294047	7578150	43585	7578150	530470500	1143145	529276913	0.22500534902506358
ERX4294048	7156922	99741	7156922	500984540	2650198	498223969	0.5510291794633024
ERX4294049	7921870	9912	7921870	554530900	62451	554455626	0.013574356271219511
ERX4294050	7099912	49495	7099912	496993840	1332433	495605120	0.279423986422045
ERX4294051	8122717	9699	8122717	568590190	62950	568514483	0.01331486215054115
ERX4294052	7483594	51393	7483594	523851580	1359505	522432691	0.27085706222361683
ERX5228512	13444263	4628219	13444263	672213150	576411	666059774	0.9153906019244046
ERX5228513	11555031	4002175	11555031	577751550	497659	572461489	0.9156290450454005
ERX5228514	14675191	5056646	14675191	733759550	631973	727075863	0.9108824546133676
ERX5228515	12061441	4134615	12061441	603072050	514101	597564997	0.9131666771822703
ERX5228516	9302999	3172519	9302999	465149950	460830	460887692	0.9163191353669929
