Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
CM_1	CM_1_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11646112.0	0.0	20-40	35.0	14.533061514754033	39.38964162460399	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CM_10	CM_10_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12070479.0	0.0	20-40	37.0	13.748841098167478	39.396691713725694	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CM_11	CM_11_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11283771.0	0.0	20-40	37.0	15.028548214087017	39.399880412319604	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CM_12	CM_12_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11206402.0	0.0	20-40	37.0	15.184456378709568	39.38954858124847	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CM_13	CM_13_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10760732.0	0.0	20-40	35.0	16.282763065845703	39.387846570289085	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
CM_14	CM_14_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10986094.0	0.0	20-40	35.0	16.21773961630952	39.5727406847238	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CM_15	CM_15_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10770617.0	0.0	20-40	36.0	15.448478741851973	39.577963453718574	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CM_16	CM_16_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11722031.0	0.0	20-40	36.0	14.898195489039834	39.38077437263218	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
CM_2	CM_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9428334.0	0.0	20-40	34.0	16.62455463880484	39.385722440465095	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CM_3	CM_3_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9361682.0	0.0	20-40	36.0	16.071514837677245	39.58140300001645	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CM_4	CM_4_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9527812.0	0.0	20-40	35.0	16.37366535386201	39.3821703240996	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
CM_5	CM_5_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11306335.0	0.0	20-40	36.0	15.378436161937254	39.38991759929279	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CM_6	CM_6_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11490442.0	0.0	20-40	35.0	15.447477776988347	39.38178383390299	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
CM_7	CM_7_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12036727.0	0.0	20-40	35.0	15.467690851675139	39.569428632883344	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CM_8	CM_8_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11061434.0	0.0	20-40	34.0	16.027497755433227	39.385188484603354	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
CM_9	CM_9_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12716745.0	0.0	20-40	36.0	14.439377049959862	39.57711458395997	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
Cody_1	Cody_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3379818.0	0.0	21-151	35.0	27.999045374516896	150.56825308345006	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
Cody_2	Cody_2_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5088605.0	0.0	20-151	35.0	24.40432054815485	150.57146329888053	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
Cody_3	Cody_3_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10208735.0	0.0	20-51	35.0	18.049528615513008	50.36997052034361	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
Cody_4	Cody_4_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10941691.0	0.0	20-51	35.0	15.284213804682544	50.55831415820462	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
ERX4294041	ERX4294041_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6941426.0	0.0	20-70	34.0	14.800505011776128	69.9862930181781	pass	pass	warn	pass	fail	pass	fail	warn	fail	warn	pass
ERX4294042	ERX4294042_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8572091.0	0.0	20-70	34.0	15.601254473359738	69.92144110462664	pass	pass	pass	pass	fail	pass	fail	warn	fail	warn	pass
ERX4294043	ERX4294043_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8889184.0	0.0	20-70	34.0	16.00302037453427	69.89341158873525	pass	pass	pass	pass	fail	pass	fail	warn	fail	warn	pass
ERX4294044	ERX4294044_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7294605.0	0.0	20-70	34.0	17.18313806779321	69.93645111695561	pass	pass	pass	pass	fail	pass	fail	warn	fail	warn	pass
ERX4294045	ERX4294045_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7378696.0	0.0	20-70	35.0	17.2688103875019	69.95505845477304	pass	pass	pass	pass	fail	pass	fail	warn	fail	warn	pass
ERX4294046	ERX4294046_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7841200.0	0.0	20-70	34.0	17.762583135946297	69.90042672039993	pass	pass	pass	pass	fail	pass	fail	warn	fail	warn	pass
ERX4294047	ERX4294047_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7567738.0	0.0	20-70	34.0	15.083679200517988	69.987271493807	pass	pass	warn	pass	fail	pass	fail	warn	fail	warn	pass
ERX4294048	ERX4294048_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7135160.0	0.0	20-70	35.0	15.613994542865555	69.97990542608716	pass	pass	warn	pass	fail	pass	fail	warn	fail	fail	pass
ERX4294049	ERX4294049_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7912336.0	0.0	20-70	35.0	14.738697776715219	69.9876706449271	pass	pass	warn	pass	fail	pass	fail	warn	fail	warn	pass
ERX4294050	ERX4294050_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7088065.0	0.0	20-70	35.0	15.209335092859217	69.98611468715369	pass	pass	warn	pass	fail	pass	fail	warn	fail	warn	pass
ERX4294051	ERX4294051_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8111559.0	0.0	20-70	34.0	16.779308274000517	69.93481080517321	pass	pass	pass	pass	fail	pass	fail	warn	fail	warn	pass
ERX4294052	ERX4294052_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7471453.0	0.0	20-70	34.0	18.177206876080408	69.90788565490541	pass	pass	pass	pass	fail	pass	fail	warn	fail	warn	pass
ERX5228512	ERX5228512_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13443098.0	0.0	20-50	35.0	11.69338848319648	49.54654834770973	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
ERX5228513	ERX5228513_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11554685.0	0.0	20-50	34.0	12.17539356154822	49.543610146014366	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
ERX5228514	ERX5228514_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14674928.0	0.0	20-50	35.0	11.579212130529875	49.54540294848465	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
ERX5228515	ERX5228515_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12060209.0	0.0	20-50	34.0	11.840696339543696	49.54836918663681	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
ERX5228516	ERX5228516_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9302714.0	0.0	20-50	35.0	12.989731080732517	49.54327565052521	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
ERX5228517	ERX5228517_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13463831.0	0.0	20-50	35.0	11.224348591466644	49.548236382349124	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
Metab_1	Metab_1_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8303967.0	0.0	20-51	37.0	18.18019937057701	50.409884215580334	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
Metab_10	Metab_10_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6168659.0	0.0	20-51	36.0	20.20115843256038	50.57430683070664	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
Metab_11	Metab_11_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5043655.0	0.0	20-51	39.0	21.537444170387083	50.42600058885868	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
Metab_12	Metab_12_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6432506.0	0.0	20-51	37.0	19.472051665501244	50.57644516771535	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
Metab_13	Metab_13_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6458985.0	0.0	20-51	36.0	20.61591274378638	50.411934228055955	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
Metab_14	Metab_14_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6056051.0	0.0	20-51	37.0	20.869077755756013	50.418878903100385	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
Metab_15	Metab_15_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6859750.0	0.0	20-51	40.0	16.514245647839505	50.59208105251649	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
Metab_16	Metab_16_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6290380.0	0.0	20-51	40.0	17.947723073355878	50.588868399047435	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
Metab_17	Metab_17_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5622695.0	0.0	20-51	38.0	21.73296389430743	50.41420493197657	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
Metab_18	Metab_18_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4627973.0	0.0	20-51	39.0	20.985540708876062	50.58945309317924	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
Metab_19	Metab_19_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6767120.0	0.0	20-51	38.0	19.965132444053715	50.42161569471208	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
Metab_2	Metab_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5246439.0	0.0	20-51	40.0	20.350293828561316	50.42648909098152	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
Metab_20	Metab_20_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7069778.0	0.0	20-51	42.0	16.362976536066654	50.44841648493065	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
Metab_3	Metab_3_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6433960.0	0.0	20-51	38.0	20.041918293860242	50.41258835926863	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
