Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
CM_1	11646112	9573660	445846	215481	0	0	0	0	108687	0	0	0	0	581175	412630	308633	82.20477357593677
CM_10	12070479	9746725	773796	236522	0	0	0	0	42649	0	0	0	0	743766	295972	231049	80.74845248477712
CM_11	11283771	9135613	456917	218861	0	0	0	0	55752	0	0	0	0	926859	294368	195401	80.96241052747348
CM_12	11206402	9136814	597629	227395	0	0	0	0	50855	0	0	0	0	693050	289585	211074	81.53209210235363
CM_13	10760732	9236278	35805	218684	0	0	0	0	64548	0	0	0	0	604227	353397	247793	85.83317566128402
CM_14	10986094	9403095	43960	227543	0	0	0	0	60343	0	0	0	0	636928	364182	250043	85.59088425786271
CM_15	10770617	9257473	49012	195586	0	0	0	0	54494	0	0	0	0	628853	325428	259771	85.95118552632593
CM_16	11722031	9914422	168940	227965	0	0	0	0	46974	0	0	0	0	766325	347796	249609	84.57938730924701
CM_2	9428334	7881669	208880	182277	0	0	0	0	99491	0	0	0	0	435977	350339	269701	83.59556417920706
CM_3	9361682	7407624	481492	177629	0	0	0	0	88556	0	0	0	0	659029	315942	231410	79.12706285045785
CM_4	9527812	7983919	186234	170617	0	0	0	0	96529	0	0	0	0	511617	322564	256332	83.79593342102048
CM_5	11306335	9098678	626381	239480	0	0	0	0	79604	0	0	0	0	637329	358778	266085	80.4741589560189
CM_6	11490442	9610108	289520	227504	0	0	0	0	71228	0	0	0	0	631379	402123	258580	83.63566867140533
CM_7	12036727	10143478	47839	251384	0	0	0	0	73620	0	0	0	0	859681	400896	259829	84.27106471717768
CM_8	11061434	9410788	23376	215705	0	0	0	0	70055	0	0	0	0	670141	407530	263839	85.07746825592413
CM_9	12716745	10701588	186499	263184	0	0	0	0	83550	0	0	0	0	798918	400027	282979	84.15351569918246
Cody_1	3379818	2393024	6982	683483	0	0	0	0	18585	0	0	0	0	124909	136066	16769	70.80333911470973
Cody_2	5088605	3588754	8413	1059574	0	0	0	0	34034	0	0	0	0	176998	191677	29155	70.52530113852421
Cody_3	10208735	7517600	414	477257	0	0	0	0	623994	0	0	0	0	808403	345781	435286	73.63889845313841
Cody_4	10941691	8233957	1182	313795	0	0	0	0	499893	0	0	0	0	994347	402527	495990	75.25305731993346
ERX4294041	6941426	5139818	40855	293565	0	0	0	0	43376	0	0	0	0	1076822	190153	156837	74.04556354846973
ERX4294042	8572091	6355577	25798	314352	0	0	0	0	41692	0	0	0	0	1420922	233041	180709	74.14266834078173
ERX4294043	8889184	6678350	34375	420075	0	0	0	0	21922	0	0	0	0	1305802	249731	178929	75.12894321908513
ERX4294044	7294605	5849142	15517	217019	0	0	0	0	34833	0	0	0	0	753365	251729	173000	80.18449251193177
ERX4294045	7378696	5888184	37303	209854	0	0	0	0	49449	0	0	0	0	742924	252160	198822	79.79979118261546
ERX4294046	7841200	6216288	24195	296146	0	0	0	0	24106	0	0	0	0	776827	299767	203871	79.27725348160996
ERX4294047	7567738	5884749	43742	247560	0	0	0	0	28858	0	0	0	0	1021734	200704	140391	77.76100335397447
ERX4294048	7135160	5337131	34126	503888	0	0	0	0	11959	0	0	0	0	984568	173752	89736	74.80043895301577
ERX4294049	7912336	6102431	32465	231636	0	0	0	0	37178	0	0	0	0	1117330	241707	149589	77.12552904730032
ERX4294050	7088065	5493719	35439	308850	0	0	0	0	25770	0	0	0	0	854453	229087	140747	77.50661146589373
ERX4294051	8111559	6475080	33187	250527	0	0	0	0	24616	0	0	0	0	875225	251719	201205	79.82534553468699
ERX4294052	7471453	5802740	23892	319770	0	0	0	0	36108	0	0	0	0	907904	215595	165444	77.66548220272549
ERX5228512	13443098	10886894	3418	57975	0	0	0	0	0	0	0	0	0	1978458	503631	12722	80.98500806882461
ERX5228513	11554685	9268712	4777	63374	0	0	0	0	0	0	0	0	0	1770480	435730	11612	80.21605089191094
ERX5228514	14674928	12007900	5889	60253	0	0	0	0	0	0	0	0	0	2045614	541565	13707	81.82595512564014
ERX5228515	12060209	9555437	10207	53285	0	0	0	0	0	0	0	0	0	1934630	495908	10742	79.2311061939308
ERX5228516	9302714	7550116	1770	50652	0	0	0	0	0	0	0	0	0	1346414	345728	8034	81.16035814924548
ERX5228517	13463831	11087734	1660	58875	0	0	0	0	0	0	0	0	0	1814054	490245	11263	82.35199921924153
Metab_1	8303967	5701939	1474757	304463	0	0	0	0	73266	0	0	0	0	373847	204534	171161	68.66524156466421
Metab_10	6168659	4672167	589375	207586	0	0	0	0	52789	0	0	0	0	349478	159277	137987	75.74039997996323
Metab_11	5043655	3062767	1299633	210231	0	0	0	0	41329	0	0	0	0	227546	99998	102151	60.7251487264692
Metab_12	6432506	4723832	836156	202599	0	0	0	0	43575	0	0	0	0	345304	147651	133389	73.43688447395152
