Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned_percentage	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
CM_1	82.20477357593677	9573660	98.15	11430631.0	1.058961325657863	85.46693848524596	35.0	39.38964162460399	18.181818181818183	11646112.0
CM_10	80.74845248477712	9746725	98.04	11833957.0	1.064992483372346	86.25115890183253	37.0	39.396691713725694	18.181818181818183	12070479.0
CM_11	80.96241052747348	9135613	98.06	11064910.0	1.6351471362626817	84.97145178591299	37.0	39.399880412319604	18.181818181818183	11283771.0
CM_12	81.53209210235363	9136814	97.97	10979007.0	1.0722804433105522	84.81554362129043	37.0	39.38954858124847	18.181818181818183	11206402.0
CM_13	85.83317566128402	9236278	97.97	10542048.0	1.0638067271622833	83.7172369341543	35.0	39.387846570289085	18.181818181818183	10760732.0
CM_14	85.59088425786271	9403095	97.93	10758551.0	1.0694040312923903	83.78226038369048	35.0	39.5727406847238	18.181818181818183	10986094.0
CM_15	85.95118552632593	9257473	98.18	10575031.0	1.0606988629661944	84.55152125814803	36.0	39.577963453718574	18.181818181818183	10770617.0
CM_16	84.57938730924701	9914422	98.06	11494066.0	1.0683224709935508	85.10180451096016	36.0	39.38077437263218	18.181818181818183	11722031.0
CM_2	83.59556417920706	7881669	98.07	9246057.0	1.0383938175973797	83.37544536119516	34.0	39.385722440465095	18.181818181818183	9428334.0
CM_3	79.12706285045785	7407624	98.1	9184053.0	1.0489653193905049	83.92848516232276	36.0	39.58140300001645	18.181818181818183	9361682.0
CM_4	83.79593342102048	7983919	98.21	9357195.0	1.038659538794439	83.62633464613799	35.0	39.3821703240996	18.181818181818183	9527812.0
CM_5	80.4741589560189	9098678	97.88	11066855.0	1.0852234355484975	84.62156383806274	36.0	39.38991759929279	18.181818181818183	11306335.0
CM_6	83.63566867140533	9610108	98.02	11262938.0	1.6817730717841741	84.55252222301165	35.0	39.38178383390299	18.181818181818183	11490442.0
CM_7	84.27106471717768	10143478	97.91	11785343.0	1.0809441266299942	84.53230914832486	35.0	39.569428632883344	18.181818181818183	12036727.0
CM_8	85.07746825592413	9410788	98.05	10845729.0	1.6616630924056666	83.97250224456677	34.0	39.385188484603354	18.181818181818183	11061434.0
CM_9	84.15351569918246	10701588	97.93	12453561.0	1.677218295129186	85.56062295004014	36.0	39.57711458395997	18.181818181818183	12716745.0
Cody_1	70.80333911470973	2393024	79.78	2696335.0	0.3957407563231231	72.0009546254831	35.0	150.56825308345006	18.181818181818183	3379818.0
Cody_2	70.52530113852421	3588754	79.18	4029031.0	0.6003530104897964	75.59567945184514	35.0	150.57146329888053	18.181818181818183	5088605.0
Cody_3	73.63889845313841	7517600	95.33	9731478.0	0.8663708375312572	81.95047138448699	35.0	50.36997052034361	18.181818181818183	10208735.0
Cody_4	75.25305731993346	8233957	97.13	10627896.0	1.326512757992502	84.71578619531746	35.0	50.55831415820462	18.181818181818183	10941691.0
ERX4294041	74.04556354846973	5139818			0.015517513630810734	85.19949498822388	34.0	69.9862930181781	27.27272727272727	6941426.0
ERX4294042	74.14266834078173	6355577			0.015203219186518858	84.39874552664025	34.0	69.92144110462664	27.27272727272727	8572091.0
ERX4294043	75.12894321908513	6678350			0.01634765529125542	83.99697962546573	34.0	69.89341158873525	27.27272727272727	8889184.0
ERX4294044	80.18449251193177	5849142			0.01389315619319579	82.81686193220679	34.0	69.93645111695561	27.27272727272727	7294605.0
