Sample	pe_sense	pe_antisense	failed	se_sense	se_antisense
Mia_0	0.0783	0.371	0.5507		
Mia_1	0.078	0.245	0.677		
Mia_2	0.0993	0.325	0.5757		
Mia_3	0.0974	0.3081	0.5945		
Mia_4	0.0816	0.171	0.7474		
Mia_5	0.0995	0.1421	0.7584		
Mia_6	0.101	0.0992	0.7999		
Muc_1			0.5132	0.185	0.3018
Muc_10			0.5706	0.1761	0.2532
Muc_11			0.5896	0.1685	0.2419
Muc_12			0.5515	0.1733	0.2752
Muc_13			0.162	0.105	0.733
Muc_14			0.1718	0.1038	0.7244
Muc_15			0.1722	0.1015	0.7263
Muc_16			0.1669	0.0993	0.7338
Muc_17			0.1431	0.1017	0.7552
Muc_18			0.1533	0.0976	0.7491
Muc_19			0.1547	0.0992	0.7461
Muc_2			0.5559	0.1928	0.2513
Muc_20			0.1574	0.1089	0.7337
Muc_21			0.1342	0.0773	0.7884
Muc_22			0.1328	0.0833	0.784
Muc_23			0.1427	0.0885	0.7688
Muc_24			0.1351	0.0819	0.783
Muc_3			0.5168	0.1959	0.2873
Muc_4			0.5105	0.1975	0.2919
Muc_5			0.5071	0.189	0.3039
Muc_6			0.4792	0.2033	0.3175
Muc_7			0.5127	0.1709	0.3165
Muc_8			0.4988	0.1719	0.3293
Muc_9			0.5913	0.1694	0.2393
SG_5	0.0	1.0	0.0		
SRX1357231			0.0	0.0	1.0
SRX1357235			0.1667	0.3333	0.5
SRX1357236			0.25	0.5	0.25
SRX1357239			0.4	0.0	0.6
SRX1357240			0.6	0.2	0.2
SRX1357243			0.0	0.6667	0.3333
SRX1357244			0.3333	0.0	0.6667
SRX1549383			0.3923	0.1955	0.4122
SRX1549384			0.4298	0.1917	0.3785
SRX1983453			0.3333	0.0	0.6667
SRX2722002	0.0323	0.3624	0.6054		
SRX2722003	0.0283	0.323	0.6487		
SRX2722004	0.0317	0.2266	0.7417		
SRX2722005	0.0176	0.0513	0.9311		
SRX2722006	0.0189	0.0602	0.9209		
SRX2722007	0.0262	0.0762	0.8977		
SRX2722008	0.044	0.1165	0.8396		
SRX2722009	0.03	0.1247	0.8453		
SRX2722010	0.106	0.3417	0.5524		
SRX2722011	0.1029	0.2614	0.6357		
SRX2722012	0.0965	0.3046	0.599		
SRX2722013	0.0758	0.1214	0.8028		
SRX2722014	0.0581	0.1117	0.8302		
SRX2722015	0.0718	0.1212	0.8069		
SRX2722016	0.0481	0.0945	0.8573		
SRX2722017	0.0561	0.1227	0.8212		
SRX2722018	0.0507	0.1202	0.8292		
SRX3489448	0.1867	0.2358	0.5775		
SRX3489449	0.1825	0.2268	0.5907		
SRX3489450	0.209	0.2198	0.5711		
SRX3489451	0.2646	0.1917	0.5437		
SRX3489452	0.245	0.1828	0.5722		
SRX3489453	0.2563	0.1529	0.5908		
SRX4065827	0.0956	0.2766	0.6278		
SRX4065829	0.0833	0.264	0.6527		
SRX4065834	0.0644	0.2335	0.7021		
SRX4065836	0.0894	0.3005	0.61		
SRX4065848	0.0989	0.1305	0.7706		
SRX4913542			0.4655	0.3216	0.2129
SRX4913543			0.6694	0.1964	0.1343
SRX5014557	0.0869	0.3069	0.6061		
SRX5014562	0.2136	0.2277	0.5587		
SRX5014564	0.1615	0.2504	0.588		
SRX5014568	0.1813	0.2642	0.5545		
SRX5014569	0.0828	0.2737	0.6435		
SRX5014570	0.1938	0.2904	0.5158		
SRX5014574	0.0933	0.2692	0.6375		
SRX5014577	0.0604	0.2324	0.7072		
SRX5014579	0.0887	0.127	0.7842		
SRX5014581	0.195	0.3218	0.4832		
SRX5014583	0.1938	0.2307	0.5756		
SRX5014587	0.1534	0.3554	0.4912		
SRX5014588	0.1611	0.3347	0.5041		
SRX502154			0.3117	0.3427	0.3456
SRX502155			0.4704	0.2631	0.2665
SRX502158			0.2129	0.378	0.409
SRX5233212			0.2322	0.5348	0.233
SRX5233213			0.1226	0.7869	0.0906
SRX5233214			0.1209	0.8466	0.0324
SRX5233215			0.3333	0.6667	0.0
SRX5233216			0.0	1.0	0.0
SRX5233217			0.5	0.0	0.5
SRX5299657	0.1658	0.2448	0.5895		
SRX5299658	0.1714	0.2397	0.589		
SRX5299659	0.1586	0.2727	0.5687		
SRX5299660	0.0725	0.2166	0.7108		
SRX5299661	0.0954	0.2633	0.6413		
SRX5299662	0.0775	0.2456	0.6769		
SRX5299663	0.1071	0.2483	0.6447		
SRX5299664	0.1179	0.28	0.602		
SRX5299665	0.1169	0.2766	0.6065		
SRX5505131	0.1722	0.2928	0.5351		
SRX5505132	0.1549	0.372	0.4731		
SRX5505133	0.0759	0.3317	0.5924		
SRX5505134	0.0953	0.3634	0.5413		
SRX5505135	0.1109	0.393	0.4962		
SRX5505136	0.1165	0.5803	0.3032		
SRX5505137	0.077	0.3453	0.5777		
SRX5505138	0.1024	0.3288	0.5688		
SRX5505139	0.1152	0.4133	0.4714		
SRX5505140	0.1283	0.5575	0.3142		
SRX5505141	0.1617	0.3526	0.4857		
SRX5505142	0.1473	0.4452	0.4075		
SRX5505143	0.1375	0.4505	0.4119		
SRX5505144	0.1726	0.3068	0.5206		
SRX5797722	0.2052	0.2203	0.5745		
SRX5797723	0.2035	0.2354	0.5611		
SRX5797724	0.2055	0.2156	0.5789		
SRX5797725	0.1673	0.329	0.5037		
SRX5797726	0.1688	0.3163	0.5149		
SRX5797727	0.1552	0.3249	0.5199		
SRX5806783	0.1995	0.1884	0.6121		
SRX5806784	0.2186	0.1679	0.6135		
SRX5806785	0.2085	0.1988	0.5927		
SRX5806786	0.1556	0.3549	0.4894		
SRX5806787	0.169	0.347	0.484		
SRX5806788	0.1547	0.3672	0.4781		
SRX6877996			0.2372	0.5709	0.1919
SRX6877997			0.1935	0.6187	0.1878
SRX6877998			0.24	0.596	0.164
SRX6877999			0.2622	0.4396	0.2982
SRX6878000			0.2299	0.4894	0.2808
SRX6878001			0.3623	0.5652	0.0725
SRX6878002			0.3918	0.3743	0.2339
SRX6878003			0.1478	0.7971	0.0551
SRX6878004			0.0745	0.8085	0.117
SRX6878005			0.2393	0.5897	0.1709
SRX6878006			0.1579	0.6711	0.1711
SRX6878007			0.1641	0.6641	0.1719
SRX6878008			0.3583	0.4372	0.2045
SRX6878009			0.1287	0.7401	0.1312
SRX6878010			0.0868	0.8263	0.0868
SRX6878011			0.3966	0.3756	0.2277
SRX6878012			0.4173	0.3411	0.2416
SRX6878013			0.0645	0.8504	0.0851
SRX6878014			0.0703	0.8522	0.0775
SRX6878015			0.063	0.8452	0.0918
SRX6878016			0.069	0.8596	0.0714
SRX6878017			0.3363	0.3472	0.3165
SRX6878018			0.4055	0.3163	0.2782
SRX6878019			0.4382	0.3841	0.1777
SRX6878020			0.214	0.3842	0.4018
SRX6878021			0.223	0.4072	0.3698
SRX6878022			0.2036	0.3894	0.407
SRX6878023			0.3876	0.4342	0.1782
SRX6878024			0.4103	0.4895	0.1001
SRX6878025			0.4574	0.4233	0.1193
SRX6878026			0.3929	0.5096	0.0975
SRX6878027			0.5125	0.445	0.0425
SRX6878028			0.2705	0.5106	0.2189
SRX7125364			0.8406	0.0437	0.1157
SRX7125365			0.8345	0.0459	0.1196
SRX7125366			0.6279	0.1361	0.236
