Module	Section	Sample Name	Source
featureCounts	all_sections	SRX9960966	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX9960966_all.txt.summary
featureCounts	all_sections	SRX3489451	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX3489451_all.txt.summary
featureCounts	all_sections	Muc_5	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/Muc_5_all.txt.summary
featureCounts	all_sections	SRX8420203	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX8420203_all.txt.summary
featureCounts	all_sections	CM_8	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/CM_8_all.txt.summary
featureCounts	all_sections	SRX7125370	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX7125370_all.txt.summary
featureCounts	all_sections	SRX1549384	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX1549384_all.txt.summary
featureCounts	all_sections	SRX6878022	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX6878022_all.txt.summary
featureCounts	all_sections	SRX9960961	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX9960961_all.txt.summary
featureCounts	all_sections	Vir_5	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/Vir_5_all.txt.summary
featureCounts	all_sections	SRX8164266	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX8164266_all.txt.summary
featureCounts	all_sections	Vir_8	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/Vir_8_all.txt.summary
featureCounts	all_sections	Muc_24	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/Muc_24_all.txt.summary
featureCounts	all_sections	SRX5797726	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX5797726_all.txt.summary
featureCounts	all_sections	Vir_16	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/Vir_16_all.txt.summary
featureCounts	all_sections	Metab_16	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/Metab_16_all.txt.summary
featureCounts	all_sections	ERX5228514	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/ERX5228514_all.txt.summary
featureCounts	all_sections	SRX5233212	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX5233212_all.txt.summary
featureCounts	all_sections	Metab_8	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/Metab_8_all.txt.summary
