Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed	se_sense	se_antisense
CM_1	11646112	9573660	445846	215481	0	0	0	0	108687	0	0	0	0	581175	412630	308633	82.20477357593677	11646112.0	11430631.0	98.15	215481.0	1.85	CM_1_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11646112.0	0.0	20-40	35.0	14.533061514754031	39.38964162460399	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	11658091	3809633	11658091	466323640	348223	461385453	1.058961325657863					
CM_10	12070479	9746725	773796	236522	0	0	0	0	42649	0	0	0	0	743766	295972	231049	80.74845248477712	12070479.0	11833957.0	98.04	236522.0	1.96	CM_10_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12070479.0	0.0	20-40	37.0	13.748841098167478	39.396691713725694	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	12089198	3911994	12089198	483567920	393091	478417958	1.064992483372346					
CM_11	11283771	9135613	456917	218861	0	0	0	0	55752	0	0	0	0	926859	294368	195401	80.96241052747348	11283771.0	11064910.0	98.06	218861.0	1.94	CM_11_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11283771.0	0.0	20-40	37.0	15.028548214087015	39.3998804123196	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	11302992	4701193	11302992	452119680	1180971	444726858	1.6351471362626817					
CM_12	11206402	9136814	597629	227395	0	0	0	0	50855	0	0	0	0	693050	289585	211074	81.53209210235363	11206402.0	10979007.0	97.97	227395.0	2.03	CM_12_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11206402.0	0.0	20-40	37.0	15.184456378709568	39.38954858124847	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	11227795	3666672	11227795	449111800	354203	444296062	1.0722804433105522					
CM_13	10760732	9236278	35805	218684	0	0	0	0	64548	0	0	0	0	604227	353397	247793	85.83317566128402	10760732.0	10542048.0	97.97	218684.0	2.03	CM_13_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10760732.0	0.0	20-40	35.0	16.282763065845703	39.387846570289085	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	10781277	3551180	10781277	431251080	321674	426663402	1.0638067271622833					
CM_14	10986094	9403095	43960	227543	0	0	0	0	60343	0	0	0	0	636928	364182	250043	85.59088425786271	10986094.0	10758551.0	97.93	227543.0	2.07	CM_14_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10986094.0	0.0	20-40	35.0	16.21773961630952	39.5727406847238	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	11002675	3633721	11002675	440107000	338343	435400478	1.0694040312923905					
CM_15	10770617	9257473	49012	195586	0	0	0	0	54494	0	0	0	0	628853	325428	259771	85.95118552632593	10770617.0	10575031.0	98.18	195586.0	1.82	CM_15_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10770617.0	0.0	20-40	36.0	15.448478741851972	39.577963453718574	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	10792731	3507536	10792731	431709240	321387	427130105	1.0606988629661944					
CM_16	11722031	9914422	168940	227965	0	0	0	0	46974	0	0	0	0	766325	347796	249609	84.57938730924701	11722031.0	11494066.0	98.06	227965.0	1.94	CM_16_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11722031.0	0.0	20-40	36.0	14.898195489039834	39.38077437263218	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	11743940	3832690	11743940	469757600	363660	464739074	1.0683224709935508					
CM_2	9428334	7881669	208880	182277	0	0	0	0	99491	0	0	0	0	435977	350339	269701	83.59556417920706	9428334.0	9246057.0	98.07	182277.0	1.93	CM_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9428334.0	0.0	20-40	34.0	16.62455463880484	39.385722440465095	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	9437496	3088359	9437496	377499840	208108	373579905	1.0383938175973797					
CM_3	9361682	7407624	481492	177629	0	0	0	0	88556	0	0	0	0	659029	315942	231410	79.12706285045785	9361682.0	9184053.0	98.1	177629.0	1.9	CM_3_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9361682.0	0.0	20-40	36.0	16.071514837677245	39.58140300001645	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	9373134	3071176	9373134	374925360	220073	370992523	1.0489653193905049					
