Geneid,CM_1,CM_10,CM_11,CM_12,CM_13,CM_14,CM_15,CM_16,CM_2,CM_3,CM_4,CM_5,CM_6,CM_7,CM_8,CM_9,SG_1,SG_2,SG_3,SG_4,SG_5,SG_6,SG_7,SG_8
USA300HOU_RS14890,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA300HOU_RS14895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA300HOU_RS14900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA300HOU_RS00005,8.360883793103563,7.854563821073137,7.976723471670255,8.147368227382357,8.621017262276004,8.665520403962072,8.080792744470813,8.210007436981632,8.40401408970272,8.045026547207634,8.012238484533897,8.134873905817381,8.315387277409362,8.527183851076867,8.685108056997242,8.17125242003506,8.705159207929196,8.717866936222718,8.543867756613967,8.302141140196982,8.162842756986578,8.158756780032231,8.852422200338493,8.858093054522044
USA300HOU_RS00010,9.085675864993057,8.606411869447411,8.714702902608758,8.831886067203245,9.360479365454434,9.408798817587057,8.725952697297446,8.868153681706916,9.15669187215031,8.86696928712998,8.849368946179078,8.946700426389665,9.0549592971809,9.391860859083858,9.405079344040855,8.855489693603865,9.090559033399854,9.158484416355734,8.986690137485024,8.634741740228968,8.724114967014875,8.721914054623268,9.255490759518954,9.294505524639476
USA300HOU_RS00015,9.361201585588171,9.040374970664534,8.9007194081925,8.980155221395568,9.376144230295607,9.402340769154373,9.231994612425163,9.106335148489654,9.290384357091236,9.312586013652231,9.292223322317264,9.012089258231011,8.971992135573236,9.443264692024892,9.55856942006751,9.182829774052117,8.557935081179215,8.777003205312473,8.912846365485075,7.734582758117128,8.367646281489666,8.376461936438913,8.395477991876582,8.42207913466698
USA300HOU_RS00020,8.627921830226793,8.6350924906903,8.346950056164916,8.4837745001792,8.879321237299092,8.867149509621754,8.604335714188439,8.611726889625437,8.654500185820618,8.555543879629377,8.584110515048296,8.45562775883386,8.440710235793988,8.771233448756277,8.787916235984534,8.55634970759483,8.438970865112397,8.47754168252391,8.705517769627987,7.841712253630447,8.45883879540351,8.473458582703234,8.388369253048866,8.424584238046211
USA300HOU_RS00025,9.051971334928046,9.256070630495596,8.972593937680578,8.992490008583445,9.265634584809735,9.20431048843608,9.166915837977596,9.070019004635123,9.047317589340237,9.020453372895755,9.073657356159233,8.937091122655747,8.853051141579588,9.119177400306071,9.06081036240484,8.998107361298791,8.76170558597688,8.721827867482311,9.050046785801332,9.142769692712179,8.868403624761216,8.925984641721751,8.709128683945817,8.774078592606532
USA300HOU_RS00030,9.281144752626648,9.34288711601875,9.116992416792815,9.140115911355783,9.436853417604127,9.396265123102038,9.307388003531127,9.232437993800737,9.266971068347797,9.199101337327477,9.282274908268805,9.227653511228713,9.049734048306643,9.39646105751316,9.313231695428476,9.152402976126089,8.645261988673115,8.655345707554135,8.949139857282319,8.537486311357531,8.708011284893638,8.79969833438342,8.549762458511589,8.583358550122806
USA300HOU_RS00035,6.371503582872393,7.137099639306767,7.206364613324388,6.938599990072086,6.78035766500601,6.814325241215652,7.182249637416513,7.099599658609549,6.403471890433183,7.130665823396005,7.161276310809183,7.054745506600637,6.836448645459491,6.920403079218303,6.6494861131957315,6.863088519529582,6.169814622983544,6.065790340464678,7.0661015577153865,6.404675555019304,6.026730210705197,6.207179564606102,7.232835947650501,7.133569717930191
USA300HOU_RS00040,6.573187950610657,8.497340979102532,8.852785647094173,9.123071817903897,4.280668152661503,4.496170034760482,8.306783204796181,8.188961885559808,6.5760026598661145,8.1380079988918,8.186013560172348,7.730741416370415,8.376360678610464,4.414488905695648,4.348515703136527,8.628892059606331,4.784232667545949,5.02525757947479,3.489750157736602,3.5480955614340433,3.6612473301904784,3.730253228457284,4.395454802875859,4.401923723274106
USA300HOU_RS00045,8.76107897642012,8.855595269945201,9.02158833968718,9.10199264513749,8.804815319768803,8.779816339079701,8.791595771448149,8.776932818266326,8.761965452206367,8.706675322962589,8.740933449446763,8.868444086871877,8.957341758701226,8.822432560452137,8.797619846639234,8.840891357518318,8.140925417360119,7.985262659269501,7.908750309368173,7.559380923253157,7.378970568503774,7.349891734684436,8.773421735333756,8.805606390800229
USA300HOU_RS00050,5.103997448473717,4.251886923812872,4.290414749174296,3.9992322795629502,6.700349251406639,6.640516048519458,4.53523912798829,4.620845003585578,4.988094343535794,4.514536909039788,4.533833432611487,5.128495964229486,4.679838526738593,6.827916731409835,6.685554195271361,4.3939388086478015,4.2516084849101015,4.3029568125658235,4.592906257761375,3.697674414862945,4.341370937935192,4.392534866216922,3.929021860312917,4.017568189562428
USA300HOU_RS00055,5.192270567551859,4.20943332381964,4.117572680028228,3.7970453277759098,6.733777922104809,6.763199325356183,4.2506034716003205,4.31631714867254,5.080581217751403,4.5700528978171056,4.130540978620768,5.056915744351151,4.546217622390678,6.757119450565054,6.744276453286656,4.164662614899182,4.278803407765486,4.841226952378396,4.700251856992262,3.4358960543030173,4.517401393077893,4.379067268179607,4.354814098060968,4.148443584011712
USA300HOU_RS00060,5.0878054019279935,4.333965399102297,4.525494780128701,4.483072395301675,6.15605730165406,6.149033059493218,4.49698344876024,4.388615092058745,5.065632039326582,4.532278511710128,4.488576699975283,4.906357888485316,4.636918694100541,6.167015939060321,6.208988542211476,4.33289756722574,5.015694695321368,4.465085223355966,4.842585307493212,3.640206675310288,4.824021069553721,4.948324817810344,4.496199097200344,4.3583542441889005
USA300HOU_RS00065,8.146619821197008,7.878261867993888,8.0706645928352,8.073946288747113,8.454885912646278,8.41286566384679,7.855876564449787,7.982477910901847,8.225276864409597,8.011369888148433,7.953728724134286,8.098127716087824,8.329512230433549,8.345870317844904,8.38962106131439,8.016219796575335,7.392354333914042,7.609984510202723,7.553929793539193,6.431444876969675,7.323717255950798,7.308227183728691,7.341016633089796,7.412369641763841
USA300HOU_RS00070,8.851239596439378,8.741720934696628,8.72725034609742,8.748141579856904,9.021480517635592,9.007671184559827,8.748700750591716,8.76341830267877,8.812136632984476,8.660467728332277,8.690066777533415,8.79285480456214,8.782102521578468,8.895672919136464,8.935814093385373,8.717138701980447,8.329735039043527,8.3317854332822,8.339618101210174,8.009515263107511,8.306658327950371,8.256640450538697,8.295129910082093,8.331244328831756
USA300HOU_RS00075,9.648379893997886,9.751923420453755,9.488415935587858,9.650681239322672,9.793352095863446,9.771963873540935,9.692766756724255,9.6283411253677,9.613336081507967,9.587051776596027,9.583583490226669,9.56121598075539,9.586982012857534,9.772019043610056,9.747413599892782,9.55081742153391,9.128145509012947,9.095397811541961,9.040569130976278,9.304619624055363,9.118643712336947,9.279931811114539,9.040293819135607,9.121344868008837
USA300HOU_RS00080,8.887817312165573,9.13737803252459,9.008732466006297,8.953319999264574,9.342300766467993,9.284230543828867,8.970533720648953,8.930707727641378,8.889442415979536,8.823596614791755,8.92758097815056,8.92243495383872,8.839307938048671,9.39450505692337,9.220945848533196,8.80369296974112,8.272370930814878,8.336379437303123,8.48622536448881,8.516519364203152,8.337101856875949,8.490461343014276,8.21289211593637,8.273866865967854
USA300HOU_RS00085,6.639310385718024,7.272274040876847,7.077793239770428,7.194037401850553,6.823014432143599,6.747679069849997,7.2966401838789645,7.210550175663763,6.655660769591327,7.194121344619812,7.275043616157683,6.944979273482358,6.7825109837245785,6.829487447622746,6.553489684767661,7.2147936979702525,6.567860609960292,7.201628044574695,8.5212899989054,7.88230443579695,7.3601503184152595,7.32138813070049,7.809804736753107,7.77401095004233
USA300HOU_RS00100,8.473048217135151,8.795864575496832,8.734852143426062,8.72370386944313,8.701262506097684,8.739572889306746,8.679925503131749,8.666251964030858,8.510548514890289,8.592143266622331,8.635654385402775,8.578519125993893,8.584805585070361,8.74673961828545,8.732795833375818,8.614186527291603,8.331115834184258,8.110917410159866,7.893916425021878,7.850935166102178,7.912126290116879,7.891997760357661,8.503445458515834,8.575111498514083
USA300HOU_RS00105,8.126552733649776,8.379279179946762,8.224775197745767,8.313439953851201,8.467736486693077,8.490743252708029,8.439749317422839,8.367064693385402,8.204628593746309,8.208397569788719,8.306733647729923,8.29736834735384,8.294508769875106,8.382092267166371,8.516856504801423,8.307983287220333,7.84384830782737,7.811084004653213,7.563469027162697,7.664383792857045,7.647552059889902,7.6946366714749255,7.981737701868403,8.029554635990918
USA300HOU_RS00110,8.345006976292256,8.49832266473644,8.332210402477044,8.409996015510183,8.610421085038473,8.570581554875313,8.471192877944228,8.477473663732841,8.318879408630568,8.339529906373116,8.440672357792977,8.376522970981243,8.29689037755449,8.510141196568156,8.531364995251378,8.371700827264876,7.925933853151685,7.856851311803738,7.721163883557929,7.2218387233942,7.882247722055162,7.98808221498664,8.060534076401968,8.165503432891573
USA300HOU_RS00115,8.480170573893956,8.171583934621552,8.163940129139089,8.24942418273176,8.601993650220084,8.63561672308175,8.394778255477034,8.356855385620326,8.497513148451914,8.359286790201667,8.400152279883683,8.34294175579136,8.413834612279002,8.640143806933402,8.675948145043144,8.372248476322287,7.971265177954625,8.024643464803898,7.86588288728429,7.505849567816352,7.865326302144563,7.896949014899674,8.23193642972939,8.200879868358994
USA300HOU_RS00120,6.8805000015587305,6.776520104963366,7.026549659917692,6.908243614045138,6.838927228959324,6.793920821227241,6.841255375651647,6.696781270133142,6.830094132976337,6.807703769756928,6.758225282313602,6.871479957963307,6.717393911386682,7.078402268720813,6.704376744569262,6.777411934862567,6.068521023908165,6.156633142789245,6.767460283296755,5.9129517121687805,6.225638142718455,6.186970173070447,6.237820642810898,6.1400771016864955
USA300HOU_RS00125,6.782016770475242,7.747702103730347,7.373472034584847,7.4329973669483875,7.064315263976072,7.072711717101401,7.749042882341657,7.692759877562975,6.780421002880678,7.463660432930608,7.559605574035904,6.969224849897312,7.133043173682605,7.0871641289259015,7.1045654425430005,7.430069733043363,7.697562360170346,7.422556173915764,6.9872005901740035,8.13000566682884,5.991045237244578,5.935893624622919,8.070052528617804,8.128941547905574
USA300HOU_RS00130,6.602845249417312,6.601191431852019,6.496499050165527,6.690053039618577,6.620206201343367,6.535267216726557,6.2618310387466884,5.983175260120077,6.4815385385673885,6.212091477111822,6.388039317054617,6.34963059420941,6.3971652960993115,6.595537595704517,6.789309707109701,6.2457493691029145,6.861540069123032,6.5024705342522955,6.495673852997088,7.5994090204942415,6.272426421234499,6.297197559303548,6.9020926907157625,6.915591149593027
USA300HOU_RS00135,6.623985285422585,5.8883693800323424,6.062867673301481,6.046099973221232,6.7478823141828315,6.821152067165811,0.08947611902393557,0.08289209811315702,6.724043539559964,6.4253668798742405,6.4254476333695845,6.21471034291524,6.631680129705456,6.741494529853433,6.888450361474828,6.245364536686273,6.616563748902601,6.608253607338755,6.2289035597521645,6.712589163693567,6.1451303246353435,5.9188233202187135,6.707103544263399,6.551173190259961
USA300HOU_RS00140,4.749979548890249,4.571430583887611,4.511681203393113,4.7598438809355965,4.713361370183953,4.85524431167638,0.0,0.0,4.862694896860507,4.837581402602801,4.4643315785651865,4.632105584185048,4.652192542966906,4.7226080231770995,4.641835644586768,4.639076720607546,4.85678115145869,4.796637523629738,4.765957058958693,4.208870332490062,4.729748971828463,3.962434124332616,4.59821149346125,4.635164983692804
USA300HOU_RS14915,5.671145475497081,5.2410235222862855,5.1624639390129765,5.165400204125722,6.148961266270687,6.030195766959242,0.0,0.0,5.910861915346152,5.459632898966028,5.407680982373668,5.4267799459924815,5.4585106949458675,6.020900934439517,6.164101414887856,5.532542135288911,5.710588956648098,5.415836299489277,5.808475625152937,4.038662771263418,5.623261352616197,5.411936633236311,5.503904325761718,5.884549096514816
USA300HOU_RS00150,7.499868041558937,7.242360886972403,7.215722341861433,7.378290424881081,7.22331767592537,7.2322969496401335,0.28238424337772033,0.13739399481790254,7.505299284881388,7.3323856415490045,7.370768424584424,7.123476877291467,7.265125483029765,7.24385807249783,7.247497693235543,7.493113364613162,6.907751785331718,6.7445705614655225,5.9981180043248425,5.968409944570595,6.924792770485276,6.9542122281479655,6.535007793745488,6.542458566169727
USA300HOU_RS00155,6.498195350762857,5.498382763691253,5.88167158106674,5.910510830960589,6.335993606904515,6.3727404617128895,0.24789940788858802,0.0,6.5136549195656706,6.08380312580656,6.006857448591857,6.1303842959740384,6.382521036284177,6.444603361560472,6.460834978700813,6.249890090820567,5.734640955123685,6.023374601986604,5.368406837496981,5.4294255510444875,5.299878029156424,5.3355177840636765,5.567809758231554,5.3549421763155785
USA300HOU_RS00160,12.138735566792693,12.033204809294613,11.904796305341707,11.955352529928474,12.052362927825445,12.030378242026813,2.4440104518665677,1.3523792286191538,12.139856222754544,12.175102493980493,12.219634940502695,11.952298898609556,12.08135520147976,12.038198901637518,12.128280313490016,12.054492019060174,11.864768313978448,11.877029355961664,11.649121760979336,11.780119166626392,11.232318028196046,11.188638163149474,11.746134203946538,11.77480107145429
USA300HOU_RS00165,9.63069435637658,8.530174844171801,9.095257797842953,9.178597044895769,9.70589911539605,9.769053582950914,0.6511397374651918,0.5379440218930065,9.823428274171775,9.527739134491936,9.355987593866569,9.488796944573883,9.991184659472095,9.728020682400018,9.919410847105171,9.440966124796711,9.172144206817233,9.684276014309592,9.284909858256608,7.671727919741789,8.476090346948258,7.946786104476866,9.153868142304727,8.996625238923889
