	BioProject	BioSample	Body_Site	Replicate	Title	Media	Condition	Growth Phase	Isolate	Growth Rate	OD-600	Genetic Changes; Name	NOTES	Reference	InsertDev	InsertSize	LibraryLayout	LibrarySelection	LibrarySource	LibraryStrategy	Manual Strain	Unnamed: 23	Model	Platform	Project	ProjectID	ReleaseDate	Run	SRAStudy	Sample	ScientificName	Submission	TaxID	class_tax_id	species	species_tax_id	strain_tax_id	R1	R2	Swift	Treatment	full_name	passed_fastqc	passed_global_correlation	passed_number_replicates	passed_reads_mapped_to_CDS	passed_similar_replicates	condition_name	project_name	reference_condition	CenterName	ReferenceGenome	Notes	SRA ID	Biosample	GEO Series	GEO Sample	PMID
SRX8387585	PRJNA634715	SAMN15005130		1.0	StaphPrecise1.0	CA-MHB	Control	Exponential	TCH1516		0.4661	WT	First S. aureus ICA model	TCH1516	0.0	0.0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq			Illumina HiSeq 4000	ILLUMINA		634715.0	5/24/2020 5:42	SRR11837179	SRP263146	SRS6701144	Staphylococcus aureus	SRA1079173	1280.0			1208.0							True	True		True												
SRX9634009	PRJNA682641	SAMN17004702			S. aureus Biofilm Foramation	TSB	Control	Exponential	USA300			WT		TCH1516	0.0	0.0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq			NextSeq 500	ILLUMINA		682641.0	2020-12-07 12:24:35	SRR13200527	SRP295997	SRS7834134	Staphylococcus aureus	SRA1167130	91061.0	91061.0	Staphylococcus aureus	1280.0	1280.0			False			True	True		True												
SRX9634010	PRJNA682641	SAMN17004701			S. aureus Biofilm Foramation	TSB	Control	Exponential	USA300			WT		TCH1516	0.0	0.0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq			NextSeq 500	ILLUMINA		682641.0	2020-12-07 12:24:35	SRR13200528	SRP295997	SRS7834135	Staphylococcus aureus	SRA1167130	91061.0	91061.0	Staphylococcus aureus	1280.0	1280.0			False			True	True		True												
SRX9634011	PRJNA682641	SAMN17004700			S. aureus Biofilm Foramation	TSB	Control	Exponential	USA300			WT		TCH1516	0.0	0.0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq			NextSeq 500	ILLUMINA		682641.0	2020-12-07 12:24:35	SRR13200529	SRP295997	SRS7834136	Staphylococcus aureus	SRA1167130	91061.0	91061.0	Staphylococcus aureus	1280.0	1280.0			False			True	True		True												
SRX9634012	PRJNA682641	SAMN17004699			S. aureus Biofilm Foramation	BHI	Control	Exponential	USA300			WT		TCH1516	0.0	0.0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq			NextSeq 500	ILLUMINA		682641.0	2020-12-07 12:24:35	SRR13200530	SRP295997	SRS7834137	Staphylococcus aureus	SRA1167130	91061.0	91061.0	Staphylococcus aureus	1280.0	1280.0			False			True	True		True												
SRX9634013	PRJNA682641	SAMN17004698			S. aureus Biofilm Foramation	BHI	Control	Exponential	USA300			WT		TCH1516	0.0	0.0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq			NextSeq 500	ILLUMINA		682641.0	2020-12-07 12:24:35	SRR13200531	SRP295997	SRS7834138	Staphylococcus aureus	SRA1167130	91061.0	91061.0	Staphylococcus aureus	1280.0	1280.0			False			True	True		True												
SRX9634014	PRJNA682641	SAMN17004697			S. aureus Biofilm Foramation	BHI	Control	Exponential	USA300			WT		TCH1516	0.0	0.0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq			NextSeq 500	ILLUMINA		682641.0	2020-12-07 12:24:35	SRR13200532	SRP295997	SRS7834139	Staphylococcus aureus	SRA1167130	91061.0	91061.0	Staphylococcus aureus	1280.0	1280.0			False			True	True		True												
SRX9634015	PRJNA682641	SAMN17004696			S. aureus Biofilm Foramation	TSB	Biofilm	Biofilm	USA300			WT		TCH1516	0.0	0.0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq			NextSeq 500	ILLUMINA		682641.0	2020-12-07 12:24:35	SRR13200533	SRP295997	SRS7834140	Staphylococcus aureus	SRA1167130	91061.0	91061.0	Staphylococcus aureus	1280.0	1280.0			False			True	True		True												
SRX9634016	PRJNA682641	SAMN17004724			S. aureus Biofilm Foramation	TSB	Biofilm	Biofilm	USA300			WT		TCH1516	0.0	0.0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq			NextSeq 500	ILLUMINA		682641.0	2020-12-07 12:24:35	SRR13200534	SRP295997	SRS7834141	Staphylococcus aureus	SRA1167130	91061.0	91061.0	Staphylococcus aureus	1280.0	1280.0			False			True	True		True												
SRX9634017	PRJNA682641	SAMN17004723			S. aureus Biofilm Foramation	TSB	Biofilm	Biofilm	USA300			WT		TCH1516	0.0	0.0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq			NextSeq 500	ILLUMINA		682641.0	2020-12-07 12:24:35	SRR13200535	SRP295997	SRS7834142	Staphylococcus aureus	SRA1167130	91061.0	91061.0	Staphylococcus aureus	1280.0	1280.0			False			True	True		True												
