	BioProject	BioSample	Body_Site	project	base_media	condition	growth_phase	isolate	reference_condition	skip	OD-600	Genetic Changes; Name	NOTES	InsertDev	InsertSize	LibraryLayout	LibrarySelection	LibrarySource	LibraryStrategy	Manual Strain	Model	Platform	Project	ProjectID	ReleaseDate	Run	SRAStudy	Sample	ScientificName	Submission	TaxID	class_tax_id	species	species_tax_id	strain_tax_id	R1	R2	Swift	Treatment	full_name	passed_fastqc	passed_global_correlation	passed_number_replicates	passed_reads_mapped_to_CDS	passed_similar_replicates	condition_name	project_name	CenterName	Notes	SRA ID	Biosample	GEO Series	GEO Sample	PMID
Cody_1	CodY regulon determination			codY iModulon	RPMI+10%LB	Mutant	Exponential	JE2	Control			bursa::CodY				PAIRED																						True																
Cody_2	CodY regulon determination			codY iModulon	RPMI+10%LB	Mutant	Exponential	JE2	Control			bursa::CodY				PAIRED																						True																
Cody_3	CodY regulon determination			codY iModulon	RPMI+10%LB	Control	Exponential	JE2	Control			WT				PAIRED																				s3://sbrg-sequencing-files/2020-05-19-IGM-NovaSeq/SPH_HRS_JE_R1_S64_L002_R1_001.fastq.gz	s3://sbrg-sequencing-files/2020-05-19-IGM-NovaSeq/SPH_HRS_JE_R1_S64_L002_R2_001.fastq.gz	True			True	True		True		Control								
Cody_4	CodY regulon determination			codY iModulon	RPMI+10%LB	Control	Exponential	JE2	Control			WT				PAIRED																				s3://sbrg-sequencing-files/2020-05-19-IGM-NovaSeq/SPH_HRS_JE_R2_S65_L002_R1_001.fastq.gz	s3://sbrg-sequencing-files/2020-05-19-IGM-NovaSeq/SPH_HRS_JE_R2_S65_L002_R2_001.fastq.gz	True			True	True		True		Control								
Muc_1	Effect of Mucin			 mucin	TSB + 0.4%glucose	Control-6hrs.	Stationary	LAC	Control-6hrs.			WT				SINGLE																				s3://sbrg-user-data/sapoudel/RibbeckLab/Ribbeck_Saureus/fastq/200701Rib_D20-187101_NA_sequence.fastq.gz		False			True	True		True		Control-6hrs.								
Muc_10	Effect of Mucin			 mucin	TSB + 0.4%glucose	0.1% Muc5b-6hrs.	Stationary	LAC	Control-6hrs.			WT				SINGLE																				s3://sbrg-user-data/sapoudel/RibbeckLab/Ribbeck_Saureus/fastq/200701Rib_D20-187110_NA_sequence.fastq.gz		False			True	True		True		0.1% Muc5b-6hrs.								
Muc_11	Effect of Mucin			 mucin	TSB + 0.4%glucose	0.1% Muc5b-6hrs.	Stationary	LAC	Control-6hrs.			WT				SINGLE																				s3://sbrg-user-data/sapoudel/RibbeckLab/Ribbeck_Saureus/fastq/200701Rib_D20-187111_NA_sequence.fastq.gz		False			True	True		True		0.1% Muc5b-6hrs.								
Muc_12	Effect of Mucin			 mucin	TSB + 0.4%glucose	0.1% Muc5b-6hrs.	Stationary	LAC	Control-6hrs.			WT				SINGLE																				s3://sbrg-user-data/sapoudel/RibbeckLab/Ribbeck_Saureus/fastq/200701Rib_D20-187112_NA_sequence.fastq.gz		False			True	True		True		0.1% Muc5b-6hrs.								
Muc_13	Effect of Mucin			 mucin	TSB + 0.4%glucose	Control-24hrs.	Stationary	LAC	Control-6hrs.			WT				SINGLE																				s3://sbrg-user-data/sapoudel/RibbeckLab/Ribbeck_Saureus/fastq/200701Rib_D20-187113_NA_sequence.fastq.gz		False			True	True		True		Control-24hrs.								
Muc_14	Effect of Mucin			 mucin	TSB + 0.4%glucose	Control-24hrs.	Stationary	LAC	Control-6hrs.			WT				SINGLE																				s3://sbrg-user-data/sapoudel/RibbeckLab/Ribbeck_Saureus/fastq/200701Rib_D20-187114_NA_sequence.fastq.gz		False			True	True		True		Control-24hrs.								
Muc_15	Effect of Mucin			 mucin	TSB + 0.4%glucose	Control-24hrs.	Stationary	LAC	Control-6hrs.			WT				SINGLE																				s3://sbrg-user-data/sapoudel/RibbeckLab/Ribbeck_Saureus/fastq/200701Rib_D20-187115_NA_sequence.fastq.gz		False			True	True		True		Control-24hrs.								
Muc_16	Effect of Mucin			 mucin	TSB + 0.4%glucose	Control-24hrs.	Stationary	LAC	Control-6hrs.			WT				SINGLE																				s3://sbrg-user-data/sapoudel/RibbeckLab/Ribbeck_Saureus/fastq/200701Rib_D20-187116_NA_sequence.fastq.gz		False			True	True		True		Control-24hrs.								
Muc_17	Effect of Mucin			 mucin	TSB + 0.4%glucose	0.1% Muc5ac-24hrs.	Stationary	LAC	Control-6hrs.			WT				SINGLE																				s3://sbrg-user-data/sapoudel/RibbeckLab/Ribbeck_Saureus/fastq/200701Rib_D20-187117_NA_sequence.fastq.gz		False			True	True		True		0.1% Muc5ac-24hrs.								
Muc_18	Effect of Mucin			 mucin	TSB + 0.4%glucose	0.1% Muc5ac-24hrs.	Stationary	LAC	Control-6hrs.			WT				SINGLE																				s3://sbrg-user-data/sapoudel/RibbeckLab/Ribbeck_Saureus/fastq/200701Rib_D20-187118_NA_sequence.fastq.gz		False			True	True		True		0.1% Muc5ac-24hrs.								
Muc_19	Effect of Mucin			 mucin	TSB + 0.4%glucose	0.1% Muc5ac-24hrs.	Stationary	LAC	Control-6hrs.			WT				SINGLE																				s3://sbrg-user-data/sapoudel/RibbeckLab/Ribbeck_Saureus/fastq/200701Rib_D20-187119_NA_sequence.fastq.gz		False			True	True		True		0.1% Muc5ac-24hrs.								
Muc_2	Effect of Mucin			 mucin	TSB + 0.4%glucose	Control-6hrs.	Stationary	LAC	Control-6hrs.			WT				SINGLE																				s3://sbrg-user-data/sapoudel/RibbeckLab/Ribbeck_Saureus/fastq/200701Rib_D20-187102_NA_sequence.fastq.gz		False			True	True		True		Control-6hrs.								
Muc_20	Effect of Mucin			 mucin	TSB + 0.4%glucose	0.1% Muc5ac-24hrs.	Stationary	LAC	Control-6hrs.			WT				SINGLE																				s3://sbrg-user-data/sapoudel/RibbeckLab/Ribbeck_Saureus/fastq/200701Rib_D20-187120_NA_sequence.fastq.gz		False			True	True		True		0.1% Muc5ac-24hrs.								
Muc_21	Effect of Mucin			 mucin	TSB + 0.4%glucose	0.1% Muc5b-24hrs.	Stationary	LAC	Control-6hrs.			WT				SINGLE																				s3://sbrg-user-data/sapoudel/RibbeckLab/Ribbeck_Saureus/fastq/200701Rib_D20-187121_NA_sequence.fastq.gz		False			True	True		True		0.1% Muc5b-24hrs.								
Muc_22	Effect of Mucin			 mucin	TSB + 0.4%glucose	0.1% Muc5b-24hrs.	Stationary	LAC	Control-6hrs.			WT				SINGLE																				s3://sbrg-user-data/sapoudel/RibbeckLab/Ribbeck_Saureus/fastq/200701Rib_D20-187122_NA_sequence.fastq.gz		False			True	True		True		0.1% Muc5b-24hrs.								
