,gene_weight,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon,regulator,reactionID
USA300HOU_RS00040,0.0516028819,hutH,NC_010079.1,USA300HOU_0008,10920,12434,+,histidine ammonia-lyase,Amino acid transport and metabolism,A0A0D6GN27,Op4,CcpA,HISD
USA300HOU_RS00890,0.1705202123,USA300HOU_RS00890,NC_010079.1,USA300HOU_0181,191832,193319,+,aldehyde dehydrogenase family protein,Energy production and conversion,A0A0D6GJB8,Op117,CcpA,LCADi
USA300HOU_RS00985,0.0544789421,USA300HOU_RS00985,NC_010079.1,USA300HOU_0200,218690,219247,-,isochorismatase family protein,"Secondary metabolites biosynthesis, transport, and catabolism",A0A0D6GIX1,Op129,,ICHORT
USA300HOU_RS00990,0.0611038709,USA300HOU_RS00990,NC_010079.1,USA300HOU_0201,219314,220954,-,alpha-keto acid decarboxylase family protein,Carbohydrate transport and metabolism,A0A0D6GJ33,Op130,CcpA,
USA300HOU_RS00995,0.0632184383,USA300HOU_RS00995,NC_010079.1,USA300HOU_0202,221148,221249,+,hypothetical protein,No COG annotation,A0A0H2WXH0,Op131,,
USA300HOU_RS01005,0.129921585,USA300HOU_RS01005,NC_010079.1,USA300HOU_0204,223874,224914,+,DUF871 domain-containing protein,Function unknown,A0A133PT72,Op133,"MurR,CcpA",
USA300HOU_RS01010,0.1373863966,murQ,NC_010079.1,USA300HOU_0205,224914,225810,+,N-acetylmuramic acid 6-phosphate etherase,Carbohydrate transport and metabolism,A0A0E1XKH4,Op133,"MurR,CcpA",ACM6PH
USA300HOU_RS01015,0.098770899,USA300HOU_RS01015,NC_010079.1,USA300HOU_0206,225822,227276,+,PTS transporter subunit EIIC,Carbohydrate transport and metabolism,A0A0H3KA42,Op133,"MurR,CcpA",ANHMKw
USA300HOU_RS01020,0.0850035401,USA300HOU_RS01020,NC_010079.1,USA300HOU_0207,227279,228154,+,MurR/RpiR family transcriptional regulator,Transcription,A0A0D1GPL9,Op133,"MurR,CcpA",
USA300HOU_RS01090,0.0993322341,ugpC,NC_010079.1,USA300HOU_0220,246056,247153,+,sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC,Inorganic ion transport and metabolism,A0A0D1IFP4,Op142,"MalR,CcpA","MALTTRabc,MALTabc,MALTHXabc"
USA300HOU_RS01095,0.1018525584,USA300HOU_RS01095,NC_010079.1,USA300HOU_0221,247166,248437,+,extracellular solute-binding protein,Carbohydrate transport and metabolism,A0A0E0VM32,Op142,"MalR,CcpA","MALTTRabc,MALTabc,MALTHXabc"
USA300HOU_RS01100,0.0947072164,USA300HOU_RS01100,NC_010079.1,USA300HOU_0222,248440,249708,+,sugar ABC transporter permease,Inorganic ion transport and metabolism,A0A0H2WXL8,Op142,"MalR,CcpA","MALTTRabc,MALTabc,MALTHXabc"
USA300HOU_RS01105,0.0894637829,USA300HOU_RS01105,NC_010079.1,USA300HOU_0223,249710,250549,+,sugar ABC transporter permease,Carbohydrate transport and metabolism,A0A0H2WXI5,Op142,"MalR,CcpA","MALTTRabc,MALTabc,MALTHXabc"
USA300HOU_RS01110,0.0913617243,USA300HOU_RS01110,NC_010079.1,USA300HOU_0224,250623,251699,+,Gfo/Idh/MocA family oxidoreductase,Function unknown,A0A0D6GIE2,Op143,"MalR,CcpA",
USA300HOU_RS01115,0.0805121239,USA300HOU_RS01115,NC_010079.1,USA300HOU_0225,251724,252764,+,Gfo/Idh/MocA family oxidoreductase,Function unknown,A0A0E0VKL4,Op143,"MalR,CcpA",
USA300HOU_RS01120,0.0743024014,USA300HOU_RS01120,NC_010079.1,USA300HOU_0226,252819,253787,+,sugar phosphate isomerase/epimerase,Carbohydrate transport and metabolism,A0A0H2WYI9,Op144,"MalR,CcpA",
USA300HOU_RS01130,0.0840385457,uhpT,NC_010079.1,USA300HOU_0229,254876,256255,+,hexose-6-phosphate:phosphate antiporter,Carbohydrate transport and metabolism,A0A0H2WXJ0,Op146,CcpA,GLYC3Pt6
USA300HOU_RS01150,0.0653794625,pflB,NC_010079.1,USA300HOU_0233,260474,262723,+,formate C-acetyltransferase,Energy production and conversion,A0A0H3K6G9,Op148,"Rex,CcpA",PFL
USA300HOU_RS01155,0.0577207197,pflA,NC_010079.1,USA300HOU_0234,262746,263501,+,pyruvate formate lyase-activating protein,Coenzyme transport and metabolism,A0A0D1EST2,Op148,"Rex,CcpA,WalR",PFL
USA300HOU_RS01670,0.1133198296,USA300HOU_RS01670,NC_010079.1,USA300HOU_0334,365095,366627,-,sodium:solute symporter,Amino acid transport and metabolism,A0A0D3Q460,Op209,"CcpA,NanR",PROt4
USA300HOU_RS01675,0.1338324894,USA300HOU_RS01675,NC_010079.1,USA300HOU_0335,366667,367548,-,N-acetylneuraminate lyase,Amino acid transport and metabolism,A0A0D1HF05,Op209,"CcpA,NanR",ACNMLr
USA300HOU_RS01680,0.072649182,USA300HOU_RS01680,NC_010079.1,USA300HOU_0336,367706,368566,+,ROK family protein,Carbohydrate transport and metabolism,A0A0H2WXP2,Op210,"CcpA,NanR",
USA300HOU_RS01755,0.0485064757,USA300HOU_RS01755,NC_010079.1,USA300HOU_0351,383921,384205,-,PTS sugar transporter subunit IIB,Carbohydrate transport and metabolism,A0A0H2X1F4,Op221,,ASCBpts
USA300HOU_RS01785,0.105153418,glpT,NC_010079.1,USA300HOU_0357,389330,390688,-,glycerol-3-phosphate transporter,Carbohydrate transport and metabolism,A0A0E1VND8,Op225,CcpA,GLYC3Pt6
USA300HOU_RS02050,0.0471942364,USA300HOU_RS02050,NC_010079.1,USA300HOU_0410,435447,435854,-,hypothetical protein,Function unknown,A0A0E1VVW8,Op261,,
USA300HOU_RS02890,0.0539064624,USA300HOU_RS02890,NC_010079.1,USA300HOU_0543,600079,601266,+,glycine C-acetyltransferase,Amino acid transport and metabolism,A0A0H2XJW8,Op359,CcpA,GLYAT
USA300HOU_RS02900,0.0612001777,USA300HOU_RS02900,NC_010079.1,USA300HOU_0545,602570,604207,+,ribulokinase,Nucleotide transport and metabolism,A0A0D6G7N9,Op361,CcpA,"RBK_Dr,RBK_L1"
USA300HOU_RS02905,0.0808817997,USA300HOU_RS02905,NC_010079.1,USA300HOU_0546,604421,605386,+,NAD-dependent epimerase/dehydratase family protein,Cell wall/membrane/envelope biogenesis,A0A0E1VM57,Op362,CcpA,THRD
