,gene_weight,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon,regulator,iModulon,Locustag
0,0.2383071021852761,spa,NC_010079.1,USA300HOU_0122,128109,129587,-,staphylococcal protein A,Cell wall/membrane/envelope biogenesis,UPI0002C94430,Op88,"CcpA,WalR",Vir-1,USA300HOU_RS00580
1,0.1131499827287886,USA300HOU_RS00700,NC_010079.1,USA300HOU_0145,154096,154695,+,superoxide dismutase,Energy production and conversion,A0A0E0VLX1,Op100,CodY,Vir-1,USA300HOU_RS00700
2,-0.0906504716122987,USA300HOU_RS01220,NC_010079.1,USA300HOU_0246,278719,280131,-,ABC transporter substrate-binding protein,Amino acid transport and metabolism,A0A2Y9TTU6,Op157,,Vir-1,USA300HOU_RS01220
3,0.0836043490289863,USA300HOU_RS04290,NC_010079.1,USA300HOU_0823,880163,880849,+,thermonuclease family protein,"Replication, recombination and repair",A0A0D6I075,Op544,,Vir-1,USA300HOU_RS04290
4,0.1113124128975046,USA300HOU_RS09355,NC_010079.1,USA300HOU_1753,1891506,1891907,-,MarR family transcriptional regulator,Transcription,A0A4U9YH96,Op1133,,Vir-1,USA300HOU_RS09355
5,0.0817104326304708,scpA,NC_010079.1,USA300HOU_1910,2055720,2056886,+,cysteine protease staphopain A,Cell wall/membrane/envelope biogenesis,A0A0E8JWI2,Op1245,,Vir-1,USA300HOU_RS10365
6,-0.1015422622087002,yut,NC_010079.1,USA300HOU_2268,2404448,2405338,-,urea transporter,Amino acid transport and metabolism,A0A2G4VEM9,Op1466,,Vir-1,USA300HOU_RS12375
7,-0.1977720794103287,USA300HOU_RS12380,NC_010079.1,USA300HOU_2269,2405613,2405915,+,urease subunit gamma,Amino acid transport and metabolism,A0A077W0W4,Op1467,,Vir-1,USA300HOU_RS12380
8,-0.2011020197588085,USA300HOU_RS12385,NC_010079.1,USA300HOU_2270,2405929,2406339,+,urease subunit beta,Amino acid transport and metabolism,A8Z386,Op1467,,Vir-1,USA300HOU_RS12385
9,-0.1807650189972135,ureC,NC_010079.1,USA300HOU_2271,2406336,2408051,+,urease subunit alpha,Amino acid transport and metabolism,A0A4V0AKD9,Op1467,,Vir-1,USA300HOU_RS12390
10,-0.1644136288047926,ureE,NC_010079.1,USA300HOU_2272,2408064,2408516,+,urease accessory protein UreE,"PostXtranslational modification, protein turnover, and chaperones",A0A0E0VSN5,Op1467,,Vir-1,USA300HOU_RS12395
11,-0.1476345254891532,USA300HOU_RS12400,NC_010079.1,USA300HOU_2273,2408509,2409198,+,urease accessory protein UreF,"PostXtranslational modification, protein turnover, and chaperones",A0A0E1VR13,Op1467,,Vir-1,USA300HOU_RS12400
12,-0.1323870072425575,ureG,NC_010079.1,USA300HOU_2274,2409211,2409825,+,urease accessory protein UreG,Transcription,A0A0E1XC15,Op1467,,Vir-1,USA300HOU_RS12405
13,-0.1273050370080931,USA300HOU_RS12410,NC_010079.1,USA300HOU_2275,2409825,2410661,+,urease accessory protein UreD,"PostXtranslational modification, protein turnover, and chaperones",A0A0E1VNU7,Op1467,,Vir-1,USA300HOU_RS12410
14,-0.0876375263896707,USA300HOU_RS13290,NC_010079.1,USA300HOU_2440,2578728,2580365,+,APC family permease,Amino acid transport and metabolism,A0A0D3QAI8,Op1596,"CodY,CcpA",Vir-1,USA300HOU_RS13290
15,0.2458617249011805,USA300HOU_RS13630,NC_010079.1,USA300HOU_2503,2649590,2650285,+,ATP-binding cassette domain-containing protein,Defense mechanisms,A0A0H2WXF9,Op1642,,Vir-1,USA300HOU_RS13630
16,0.2283662736829226,USA300HOU_RS13635,NC_010079.1,USA300HOU_2504,2650287,2651057,+,ABC transporter permease,Function unknown,A0A0E0VU19,Op1642,,Vir-1,USA300HOU_RS13635
17,-0.0753851671743987,feoB,NC_010079.1,USA300HOU_2544,2687698,2689692,-,ferrous iron transport protein B,Inorganic ion transport and metabolism,A0A0D6GUV7,Op1675,Fur,Vir-1,USA300HOU_RS13840
18,-0.1025716085448267,USA300HOU_RS13845,NC_010079.1,USA300HOU_2545,2689704,2689931,-,ferrous iron transport protein A,Inorganic ion transport and metabolism,A0A0E0VT43,Op1675,Fur,Vir-1,USA300HOU_RS13845
0,0.3359930493335658,USA300HOU_RS03770,NC_010079.1,USA300HOU_0721,771064,771828,+,DeoR/GlpR transcriptional regulator,Transcription,A0A0D6G8U7,Op478,"FruR,CcpA",FruR,USA300HOU_RS03770
1,0.3340541191562798,pfkB,NC_010079.1,USA300HOU_0722,771825,772745,+,1-phosphofructokinase,Coenzyme transport and metabolism,A0A0D6G2B8,Op478,"FruR,CcpA",FruR,USA300HOU_RS03775
2,0.3062714786713166,USA300HOU_RS03780,NC_010079.1,USA300HOU_0723,772751,774709,+,PTS transporter subunit EIIA,Carbohydrate transport and metabolism,A0A068A2L4,Op478,"FruR,CcpA",FruR,USA300HOU_RS03780
