locus_tag,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon
USA300HOU_RS00005,dnaA,NC_010079.1,USA300HOU_0001,544,1905,+,chromosomal replication initiator protein DnaA,"Replication, recombination and repair",A0A0E1VPG8,Op0
USA300HOU_RS00010,dnaN,NC_010079.1,USA300HOU_0002,2183,3316,+,DNA polymerase III subunit beta,"Replication, recombination and repair",A0A0E1VWV3,Op1
USA300HOU_RS00015,yaaA,NC_010079.1,USA300HOU_0003,3706,3942,+,S4 domain-containing protein YaaA,Function unknown,A0A077UHW0,Op2
USA300HOU_RS00020,recF,NC_010079.1,USA300HOU_0004,3939,5051,+,DNA replication/repair protein RecF,"Replication, recombination and repair",A0A0E1XKW6,Op2
USA300HOU_RS00025,gyrB,NC_010079.1,USA300HOU_0005,5061,6995,+,DNA topoisomerase (ATP-hydrolyzing) subunit B,"Replication, recombination and repair",A0A068A4Y4,Op2
USA300HOU_RS00030,gyrA,NC_010079.1,USA300HOU_0006,7032,9695,+,DNA gyrase subunit A,"Replication, recombination and repair",A0A2C6N655,Op2
USA300HOU_RS00035,USA300HOU_RS00035,NC_010079.1,USA300HOU_0007,9782,10594,-,NAD(P)H-hydrate dehydratase,Coenzyme transport and metabolism,A0A0D1GYV5,Op3
USA300HOU_RS00040,hutH,NC_010079.1,USA300HOU_0008,10920,12434,+,histidine ammonia-lyase,Amino acid transport and metabolism,A0A0D6GN27,Op4
USA300HOU_RS00045,serS,NC_010079.1,USA300HOU_0009,12813,14099,+,serine--tRNA ligase,"Translation, ribosomal structure and biogenesis",A0A0E0VLM6,Op5
USA300HOU_RS00050,USA300HOU_RS00050,NC_010079.1,USA300HOU_0010,14749,15444,+,AzlC family ABC transporter permease,Amino acid transport and metabolism,A0A0H2XEA0,Op6
USA300HOU_RS00055,USA300HOU_RS00055,NC_010079.1,USA300HOU_0011,15441,15770,+,AzlD domain-containing protein,Function unknown,A0A0E1VPH7,Op6
USA300HOU_RS00060,USA300HOU_RS00060,NC_010079.1,USA300HOU_0012,16133,17101,+,alpha/beta fold hydrolase,Amino acid transport and metabolism,A0A0D6GL37,Op7
USA300HOU_RS00065,USA300HOU_RS00065,NC_010079.1,USA300HOU_0013,17392,18330,+,YybS family protein,Function unknown,A0A0H2XFE8,Op8
USA300HOU_RS00070,gdpP,NC_010079.1,USA300HOU_0014,18345,20312,+,cyclic-di-AMP phosphodiesterase GdpP,Signal transduction mechanisms,A0A0H2WXB6,Op8
USA300HOU_RS00075,rplI,NC_010079.1,USA300HOU_0015,20309,20755,+,50S ribosomal protein L9,"Translation, ribosomal structure and biogenesis",A0A0E1XCW1,Op8
USA300HOU_RS00080,dnaB,NC_010079.1,USA300HOU_0016,20787,22187,+,replicative DNA helicase,"Replication, recombination and repair",A0A0E1VPI3,Op8
USA300HOU_RS00085,USA300HOU_RS00085,NC_010079.1,USA300HOU_0017,22465,23748,+,adenylosuccinate synthase,Nucleotide transport and metabolism,A0A0H2XG07,Op9
USA300HOU_RS00100,USA300HOU_RS00100,NC_010079.1,USA300HOU_0018,24952,25653,+,response regulator transcription factor,Transcription,A0A077UQ54,Op10
USA300HOU_RS00105,walK,NC_010079.1,USA300HOU_0019,25666,27492,+,cell wall metabolism sensor histidine kinase WalK,Signal transduction mechanisms,A0A0E0VLX9,Op10
USA300HOU_RS00110,USA300HOU_RS00110,NC_010079.1,USA300HOU_0020,27485,28819,+,hypothetical protein,Function unknown,A0A0D6GLN9,Op10
USA300HOU_RS00115,USA300HOU_RS00115,NC_010079.1,USA300HOU_0021,28820,29608,+,hypothetical protein,Function unknown,A0A0H2WXE7,Op10
USA300HOU_RS00120,USA300HOU_RS00120,NC_010079.1,USA300HOU_0022,29998,30798,+,MBL fold metallo-hydrolase,Function unknown,A0A0H2WXC0,Op11
USA300HOU_RS00125,adsA,NC_010079.1,USA300HOU_0023,31026,33344,+,LPXTG-anchored adenosine synthase AdsA,Nucleotide transport and metabolism,A0A0H2WY04,Op12
USA300HOU_RS00130,rlmH,NC_010079.1,USA300HOU_0024,33712,34191,+,23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH,"Translation, ribosomal structure and biogenesis",A0A0E0VLY3,Op13
USA300HOU_RS00135,USA300HOU_RS00135,NC_010079.1,USA300HOU_0025,34513,35769,+,DUF3578 domain-containing protein,Defense mechanisms,A0A0H2XHW3,Op14
USA300HOU_RS00140,USA300HOU_RS00140,NC_010079.1,USA300HOU_0026,35877,36551,-,IS6-like element IS257 family transposase,"Replication, recombination and repair",A0A0H2WXC3,Op15
USA300HOU_RS14915,USA300HOU_RS14915,NC_010079.1,USA300HOU_0027,36587,36976,+,hydroxymethylglutaryl-CoA synthase family protein,Lipid transport and metabolism,A0A2A1K7D4,Op16
USA300HOU_RS00150,USA300HOU_RS00150,NC_010079.1,USA300HOU_0029,37813,38556,+,glycerophosphoryl diester phosphodiesterase,Energy production and conversion,A0A0E1VBD2,Op17
USA300HOU_RS00155,USA300HOU_RS00155,NC_010079.1,USA300HOU_0030,38653,39081,+,MaoC family dehydratase,Lipid transport and metabolism,A0A088B1I4,Op18
USA300HOU_RS00160,mecA,NC_010079.1,USA300HOU_0031,39127,41136,-,PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA,Cell wall/membrane/envelope biogenesis,A0A141HMH7,Op19
USA300HOU_RS00165,USA300HOU_RS00165,NC_010079.1,USA300HOU_0032,41233,42219,+,beta-lactam sensor/signal transducer MecR1,Transcription,A0A0E1VB21,Op20
USA300HOU_RS00170,USA300HOU_RS00170,NC_010079.1,USA300HOU_0033,42191,42451,+,DUF3387 domain-containing protein,Transcription,A0A0E1VD57,Op21
USA300HOU_RS00175,USA300HOU_RS00175,NC_010079.1,,42442,44049,-,IS1182 family transposase,"Replication, recombination and repair",,Op22
USA300HOU_RS00180,USA300HOU_RS00180,NC_010079.1,USA300HOU_0035,44101,44607,-,DUF1643 domain-containing protein,Defense mechanisms,A0A0H2XIB4,Op22
