,gene_weight,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon,regulator,reactionID
USA300HOU_RS00050,0.0512829385094139,USA300HOU_RS00050,NC_010079.1,USA300HOU_0010,14749,15444,+,AzlC family ABC transporter permease,Amino acid transport and metabolism,A0A0H2XEA0,Op6,,
USA300HOU_RS00055,0.0468403148211928,USA300HOU_RS00055,NC_010079.1,USA300HOU_0011,15441,15770,+,AzlD domain-containing protein,Function unknown,A0A0E1VPH7,Op6,,
USA300HOU_RS00060,0.0542262783102475,USA300HOU_RS00060,NC_010079.1,USA300HOU_0012,16133,17101,+,alpha/beta fold hydrolase,Amino acid transport and metabolism,A0A0D6GL37,Op7,"CodY,SAM",HSERTA
USA300HOU_RS00275,0.1028571944180886,USA300HOU_RS00275,NC_010079.1,USA300HOU_0059,64041,65168,+,alcohol dehydrogenase catalytic domain-containing protein,Energy production and conversion,A0A169SZM3,Op41,Genomic Island 1,"ALCD19,ALCD2"
USA300HOU_RS01055,0.1052716196038957,USA300HOU_RS01055,NC_010079.1,USA300HOU_0213,236516,237994,+,ABC transporter permease,Amino acid transport and metabolism,A0A0H2XEQ5,Op138,,GTHRDabc
USA300HOU_RS01060,0.1088051483284255,USA300HOU_RS01060,NC_010079.1,USA300HOU_0214,238000,239163,+,ABC transporter permease,Amino acid transport and metabolism,A0A0D3Q3Y6,Op138,,GTHRDabc
USA300HOU_RS01065,0.1058903788622073,USA300HOU_RS01065,NC_010079.1,USA300HOU_0215,239180,240955,+,peptide ABC transporter substrate-binding protein,Amino acid transport and metabolism,A0A0D6GGQ7,Op138,,
USA300HOU_RS01070,0.089946572528001,ggt,NC_010079.1,USA300HOU_0216,240993,242999,+,gamma-glutamyltransferase,Amino acid transport and metabolism,A0A0E8H648,Op138,,GTHRDH
USA300HOU_RS01625,0.049757217480473,brnQ,NC_010079.1,USA300HOU_0325,355392,356699,-,branched-chain amino acid transport system II carrier protein,"Intracellular trafficking, secretion, and vesicular transport",A0A0H2WXK2,Op202,CodY,ILEt2r
USA300HOU_RS01885,0.0800691620888713,USA300HOU_RS01885,NC_010079.1,USA300HOU_0376,407168,407920,-,cyclase family protein,Function unknown,A0A0E1VLC9,Op236,"CodY,T-box(Met)",
USA300HOU_RS01890,0.1041855052173291,metE,NC_010079.1,USA300HOU_0377,407963,410191,-,5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase,Amino acid transport and metabolism,A0A0D6GC70,Op237,"CodY,T-box(Met)","HCYSMT,MHPGLUT2,METS"
USA300HOU_RS01895,0.1125678627535713,USA300HOU_RS01895,NC_010079.1,USA300HOU_0378,410188,412029,-,bifunctional homocysteine S-methyltransferase/methylenetetrahydrofolate reductase,Coenzyme transport and metabolism,A0A0D6GBI3,Op237,"CodY,T-box(Met)","METS,HCYSMT2,MTHFR3"
USA300HOU_RS01900,0.1137989051686634,USA300HOU_RS01900,NC_010079.1,USA300HOU_0379,411998,413158,-,PLP-dependent transferase,Amino acid transport and metabolism,A0A0D6FWN5,Op237,"CodY,T-box(Met)",CYSTL
USA300HOU_RS01905,0.1203924509348716,USA300HOU_RS01905,NC_010079.1,USA300HOU_0380,413155,414258,-,aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme,Amino acid transport and metabolism,A0A0D6WFD6,Op237,"CodY,T-box(Met)",METB1r
USA300HOU_RS02325,0.1025097522573123,USA300HOU_RS02325,NC_010079.1,,488675,489700,+,methionine ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,A0A0D6GAH9,Op300,CymR,"METDabc,METabc"
USA300HOU_RS02330,0.1087184740284112,USA300HOU_RS02330,NC_010079.1,,489704,490363,+,ABC transporter permease,Inorganic ion transport and metabolism,A0A0H2WYU6,Op300,CymR,"METDabc,METabc"
USA300HOU_RS02335,0.1007117298029408,gmpC,NC_010079.1,USA300HOU_0464,490400,491242,+,dipeptide ABC transporter glycylmethionine-binding lipoprotein,Inorganic ion transport and metabolism,A0A0D3Q4X2,Op300,CymR,"METDabc,METSOX2abc,METSOX1abc,METabc"
USA300HOU_RS02375,0.0570541720973106,gltB,NC_010079.1,USA300HOU_0472,497297,501796,+,glutamate synthase large subunit,Amino acid transport and metabolism,A0A0D6GA82,Op306,"GltC,CodY",GLUSy
USA300HOU_RS03910,0.0649352909491471,hisC,NC_010079.1,USA300HOU_0747,799808,800866,+,histidinol-phosphate transaminase,Amino acid transport and metabolism,A0A0D6WKW2,Op494,,"PHETA1,HSTPTr,TYRTA,LASP2OA"
USA300HOU_RS04065,0.0717959985230322,raiA,NC_010079.1,USA300HOU_0779,830259,830831,+,ribosome-associated translation inhibitor RaiA,"Translation, ribosomal structure and biogenesis",A0A0E0VNX4,Op515,,
USA300HOU_RS04405,0.0498121565685381,USA300HOU_RS04405,NC_010079.1,USA300HOU_0847,893249,894274,+,methionine ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,A0A0E1VIV3,Op563,"CodY,SAM,Genomic Island 3",METDabc
USA300HOU_RS04410,0.0516275708001348,USA300HOU_RS04410,NC_010079.1,USA300HOU_0848,894267,894962,+,ABC transporter permease,Inorganic ion transport and metabolism,A0A068E1Q2,Op563,"CodY,SAM,Genomic Island 3","METDabc,METSOX2abc,METSOX1abc,METabc"
USA300HOU_RS04915,0.0556749082539752,USA300HOU_RS04915,NC_010079.1,USA300HOU_0949,994008,995723,+,ABC transporter substrate-binding protein,Amino acid transport and metabolism,A0A0E7NMJ6,Op624,CodY,
USA300HOU_RS05020,0.1322110406293441,USA300HOU_RS05020,NC_010079.1,USA300HOU_0971,1016507,1018075,+,alanine:cation symporter family protein,"Intracellular trafficking, secretion, and vesicular transport",A0A0E7NKC0,Op637,"CodY,CodY","ALAt4,GLYt2,ALAt2r"
USA300HOU_RS05025,0.0770763775475947,USA300HOU_RS05025,NC_010079.1,USA300HOU_0972,1018217,1018975,+,esterase family protein,Inorganic ion transport and metabolism,A0A0D6HUN1,Op638,,
USA300HOU_RS05030,0.0473214695609462,USA300HOU_RS05030,NC_010079.1,USA300HOU_0973,1019169,1019678,+,hypothetical protein,"Translation, ribosomal structure and biogenesis",A0A0D6HVI7,Op639,CcpA,
USA300HOU_RS05095,0.0669987580444854,USA300HOU_RS05095,NC_010079.1,,1033793,1034011,+,IDEAL domain-containing protein,Function unknown,A0A0E1VSU3,Op646,CodY,
USA300HOU_RS15225,0.1547846234711179,USA300HOU_RS15225,NC_010079.1,,1037098,1037370,+,lactococcin 972 family bacteriocin,Function unknown,A0A2I7YBL0,Op650,,
USA300HOU_RS05125,0.1304754973618077,USA300HOU_RS05125,NC_010079.1,,1037414,1039378,+,bacteriocin-associated integral membrane family protein,Function unknown,A0A0D3Q641,Op651,,
USA300HOU_RS05130,0.1332530456959542,USA300HOU_RS05130,NC_010079.1,,1039381,1039701,+,YxeA family protein,Function unknown,A0A077UTT6,Op651,,
