,gene_id,database,kegg_id
10,USA300HOU_RS00050,KEGG_ko,-
11,USA300HOU_RS00055,KEGG_ko,-
13,USA300HOU_RS00065,KEGG_ko,-
14,USA300HOU_RS00070,KEGG_ko,-
20,USA300HOU_RS00110,KEGG_ko,-
21,USA300HOU_RS00115,KEGG_ko,-
26,USA300HOU_RS00135,KEGG_ko,-
30,USA300HOU_RS00155,KEGG_ko,-
37,USA300HOU_RS00180,KEGG_ko,-
38,USA300HOU_RS00185,KEGG_ko,-
39,USA300HOU_RS00190,KEGG_ko,-
41,USA300HOU_RS00200,KEGG_ko,-
42,USA300HOU_RS00205,KEGG_ko,-
43,USA300HOU_RS00210,KEGG_ko,-
48,USA300HOU_RS00240,KEGG_ko,-
50,USA300HOU_RS00260,KEGG_ko,-
55,USA300HOU_RS00280,KEGG_ko,-
56,USA300HOU_RS00285,KEGG_ko,-
57,USA300HOU_RS00290,KEGG_ko,-
58,USA300HOU_RS00295,KEGG_ko,-
60,USA300HOU_RS00300,KEGG_ko,-
67,USA300HOU_RS00330,KEGG_ko,-
68,USA300HOU_RS00335,KEGG_ko,-
71,USA300HOU_RS00350,KEGG_ko,-
72,USA300HOU_RS00355,KEGG_ko,-
73,USA300HOU_RS00360,KEGG_ko,-
80,USA300HOU_RS00395,KEGG_ko,-
81,USA300HOU_RS00415,KEGG_ko,-
83,USA300HOU_RS00430,KEGG_ko,-
84,USA300HOU_RS00435,KEGG_ko,-
88,USA300HOU_RS00455,KEGG_ko,-
89,USA300HOU_RS00460,KEGG_ko,-
90,USA300HOU_RS00465,KEGG_ko,-
91,USA300HOU_RS00470,KEGG_ko,-
92,USA300HOU_RS00475,KEGG_ko,-
93,USA300HOU_RS00480,KEGG_ko,-
94,USA300HOU_RS00485,KEGG_ko,-
95,USA300HOU_RS00490,KEGG_ko,-
96,USA300HOU_RS00500,KEGG_ko,-
98,USA300HOU_RS00515,KEGG_ko,-
99,USA300HOU_RS00520,KEGG_ko,-
100,USA300HOU_RS00525,KEGG_ko,-
101,USA300HOU_RS00530,KEGG_ko,-
102,USA300HOU_RS00535,KEGG_ko,-
103,USA300HOU_RS00540,KEGG_ko,-
107,USA300HOU_RS00560,KEGG_ko,-
109,USA300HOU_RS00570,KEGG_ko,-
112,USA300HOU_RS00585,KEGG_ko,-
118,USA300HOU_RS00615,KEGG_ko,-
120,USA300HOU_RS00625,KEGG_ko,-
121,USA300HOU_RS00630,KEGG_ko,-
124,USA300HOU_RS00645,KEGG_ko,-
128,USA300HOU_RS00680,KEGG_ko,-
129,USA300HOU_RS00685,KEGG_ko,-
130,USA300HOU_RS00690,KEGG_ko,-
133,USA300HOU_RS00705,KEGG_ko,-
134,USA300HOU_RS00710,KEGG_ko,-
143,USA300HOU_RS00760,KEGG_ko,-
147,USA300HOU_RS00800,KEGG_ko,-
148,USA300HOU_RS00805,KEGG_ko,-
156,USA300HOU_RS00840,KEGG_ko,-
157,USA300HOU_RS00845,KEGG_ko,-
158,USA300HOU_RS00850,KEGG_ko,-
159,USA300HOU_RS00855,KEGG_ko,-
168,USA300HOU_RS00905,KEGG_ko,-
172,USA300HOU_RS00925,KEGG_ko,-
173,USA300HOU_RS00930,KEGG_ko,-
176,USA300HOU_RS00945,KEGG_ko,-
177,USA300HOU_RS00950,KEGG_ko,-
185,USA300HOU_RS00985,KEGG_ko,-
186,USA300HOU_RS00990,KEGG_ko,-
200,USA300HOU_RS01020,KEGG_ko,-
202,USA300HOU_RS01035,KEGG_ko,-
203,USA300HOU_RS01040,KEGG_ko,-
212,USA300HOU_RS01085,KEGG_ko,-
219,USA300HOU_RS01110,KEGG_ko,-
220,USA300HOU_RS01115,KEGG_ko,-
221,USA300HOU_RS01120,KEGG_ko,-
236,USA300HOU_RS01215,KEGG_ko,-
238,USA300HOU_RS01225,KEGG_ko,-
239,USA300HOU_RS01230,KEGG_ko,-
249,USA300HOU_RS01270,KEGG_ko,-
254,USA300HOU_RS01295,KEGG_ko,-
268,USA300HOU_RS01340,KEGG_ko,-
279,USA300HOU_RS01390,KEGG_ko,-
285,USA300HOU_RS01425,KEGG_ko,-
287,USA300HOU_RS01435,KEGG_ko,-
293,USA300HOU_RS01465,KEGG_ko,-
294,USA300HOU_RS01470,KEGG_ko,-
295,USA300HOU_RS01475,KEGG_ko,-
296,USA300HOU_RS01480,KEGG_ko,-
297,USA300HOU_RS01485,KEGG_ko,-
298,USA300HOU_RS01490,KEGG_ko,-
299,USA300HOU_RS01495,KEGG_ko,-
300,USA300HOU_RS01500,KEGG_ko,-
301,USA300HOU_RS01505,KEGG_ko,-
303,USA300HOU_RS01535,KEGG_ko,-
304,USA300HOU_RS01540,KEGG_ko,-
305,USA300HOU_RS01555,KEGG_ko,-
306,USA300HOU_RS01560,KEGG_ko,-
307,USA300HOU_RS01565,KEGG_ko,-
308,USA300HOU_RS01570,KEGG_ko,-
309,USA300HOU_RS01575,KEGG_ko,-
310,USA300HOU_RS01585,KEGG_ko,-
311,USA300HOU_RS01590,KEGG_ko,-
312,USA300HOU_RS01595,KEGG_ko,-
313,USA300HOU_RS01600,KEGG_ko,-
314,USA300HOU_RS01605,KEGG_ko,-
315,USA300HOU_RS01610,KEGG_ko,-
316,USA300HOU_RS01615,KEGG_ko,-
319,USA300HOU_RS01630,KEGG_ko,-
323,USA300HOU_RS01650,KEGG_ko,-
329,USA300HOU_RS01680,KEGG_ko,-
330,USA300HOU_RS01685,KEGG_ko,-
332,USA300HOU_RS01695,KEGG_ko,-
334,USA300HOU_RS01705,KEGG_ko,-
335,USA300HOU_RS01710,KEGG_ko,-
336,USA300HOU_RS01720,KEGG_ko,-
