All-Genes	Genes in same transcription unit	Accession-1	Left-End-Position	Right-End-Position
asnC	asnC	USA300HOU_RS07440	1523635	1524927
deoA	deoA // USA300HOU_RS11525	USA300HOU_RS11530	2253080	2254381
engB	engB	USA300HOU_RS08860	1774517	1775107
fecD	USA300HOU_RS11785 // USA300HOU_RS11780 // fecD	USA300HOU_RS11775	2307872	2308840
ffs	ffs	USA300HOU_RS15060	508055	508324
gatA	USA300HOU_RS10325 // gatA // USA300HOU_RS10315 // USA300HOU_RS10310	USA300HOU_RS10320	2043126	2044583
glnQ	USA300HOU_RS09930 // glnQ	USA300HOU_RS09925	1990402	1991130
hisZ	hisZ // USA300HOU_RS14545 // USA300HOU_RS14540 // USA300HOU_RS14535 // USA300HOU_RS14530 // USA300HOU_RS14525 // USA300HOU_RS14520 // USA300HOU_RS14515 // USA300HOU_RS14510	USA300HOU_RS14550	2839861	2840679
ligA	USA300HOU_RS10350 // USA300HOU_RS10345 // ligA // USA300HOU_RS10335	USA300HOU_RS10340	2048093	2050096
nsaS	USA300HOU_RS14270 // USA300HOU_RS14265 // nsaS	USA300HOU_RS14260	2769215	2770102
nusA	USA300HOU_RS06395 // USA300HOU_RS06390 // USA300HOU_RS06385 // nusA // USA300HOU_RS06375	USA300HOU_RS06380	1288530	1289705
polC	polC	USA300HOU_RS06370	1283442	1287752
rnpB	rnpB	USA300HOU_RS15310	1516008	1516387
rpsN	USA300HOU_RS12155 // USA300HOU_RS12150 // USA300HOU_RS12145 // USA300HOU_RS12140 // USA300HOU_RS12135 // USA300HOU_RS12130 // USA300HOU_RS12125 // USA300HOU_RS12120 // USA300HOU_RS12115 // rpsN // USA300HOU_RS12105 // USA300HOU_RS12100 // USA300HOU_RS12095 // USA300HOU_RS12090 // USA300HOU_RS12085 // USA300HOU_RS12080 // USA300HOU_RS12075 // USA300HOU_RS12070	USA300HOU_RS12110	2364860	2365045
rrf	rrf // USA300HOU_RS02440	USA300HOU_RS02445	517699	517813
rrf	USA300HOU_RS02710 // USA300HOU_RS02705 // USA300HOU_RS02700 // USA300HOU_RS02695 // USA300HOU_RS02690 // USA300HOU_RS02685 // USA300HOU_RS02680 // USA300HOU_RS02675 // USA300HOU_RS02670 // USA300HOU_RS02665 // rrf // USA300HOU_RS02655	USA300HOU_RS02660	556090	556204
rrf	USA300HOU_RS11715 // rrf // USA300HOU_RS11705 // USA300HOU_RS11700 // USA300HOU_RS11695 // USA300HOU_RS11690 // USA300HOU_RS11685 // USA300HOU_RS11680	USA300HOU_RS11710	2292759	2292873
rrf	rrf // USA300HOU_RS02715	USA300HOU_RS02720	561950	562064
rrf	USA300HOU_RS10090 // USA300HOU_RS10085 // USA300HOU_RS10080 // USA300HOU_RS10075 // rrf // USA300HOU_RS10065 // USA300HOU_RS10060 // USA300HOU_RS10055 // USA300HOU_RS10050 // USA300HOU_RS10045 // USA300HOU_RS10040 // USA300HOU_RS10035 // USA300HOU_RS10030 // USA300HOU_RS10025 // USA300HOU_RS10020 // USA300HOU_RS10015 // USA300HOU_RS10010 // USA300HOU_RS10005 // USA300HOU_RS10000 // USA300HOU_RS09995 // USA300HOU_RS09990 // USA300HOU_RS09985 // USA300HOU_RS09980 // USA300HOU_RS09975 // USA300HOU_RS09970 // USA300HOU_RS09965 // USA300HOU_RS09960 // USA300HOU_RS09955 // USA300HOU_RS09950 // USA300HOU_RS09945	USA300HOU_RS10070	1998284	1998398
rrf	USA300HOU_RS11115 // rrf	USA300HOU_RS11110	2176448	2176562
ssrA	ssrA	USA300HOU_RS15175	868408	868769
ssrS	ssrS	USA300HOU_RS15340	1736427	1736617
ureE	USA300HOU_RS12410 // USA300HOU_RS12405 // USA300HOU_RS12400 // ureE // USA300HOU_RS12390 // USA300HOU_RS12385 // USA300HOU_RS12380	USA300HOU_RS12395	2408064	2408516
USA300HOU_RS00005	USA300HOU_RS00005	USA300HOU_RS00005	544	1905
USA300HOU_RS00010	USA300HOU_RS00010	USA300HOU_RS00010	2183	3316
USA300HOU_RS00015	USA300HOU_RS00030 // USA300HOU_RS00025 // USA300HOU_RS00020 // USA300HOU_RS00015	USA300HOU_RS00015	3697	3942
USA300HOU_RS00020	USA300HOU_RS00030 // USA300HOU_RS00025 // USA300HOU_RS00020 // USA300HOU_RS00015	USA300HOU_RS00020	3939	5051
USA300HOU_RS00025	USA300HOU_RS00030 // USA300HOU_RS00025 // USA300HOU_RS00020 // USA300HOU_RS00015	USA300HOU_RS00025	5061	6995
USA300HOU_RS00030	USA300HOU_RS00030 // USA300HOU_RS00025 // USA300HOU_RS00020 // USA300HOU_RS00015	USA300HOU_RS00030	7032	9695
USA300HOU_RS00035	USA300HOU_RS00035	USA300HOU_RS00035	9782	10594
USA300HOU_RS00040	USA300HOU_RS00040	USA300HOU_RS00040	10920	12434
USA300HOU_RS00045	USA300HOU_RS00045	USA300HOU_RS00045	12813	14099
USA300HOU_RS00050	USA300HOU_RS00055 // USA300HOU_RS00050	USA300HOU_RS00050	14749	15444
USA300HOU_RS00055	USA300HOU_RS00055 // USA300HOU_RS00050	USA300HOU_RS00055	15441	15770
USA300HOU_RS00060	USA300HOU_RS00060	USA300HOU_RS00060	16133	17101
USA300HOU_RS00065	USA300HOU_RS00080 // USA300HOU_RS00075 // USA300HOU_RS00070 // USA300HOU_RS00065	USA300HOU_RS00065	17392	18330
USA300HOU_RS00070	USA300HOU_RS00080 // USA300HOU_RS00075 // USA300HOU_RS00070 // USA300HOU_RS00065	USA300HOU_RS00070	18345	20312
USA300HOU_RS00075	USA300HOU_RS00080 // USA300HOU_RS00075 // USA300HOU_RS00070 // USA300HOU_RS00065	USA300HOU_RS00075	20309	20755
USA300HOU_RS00080	USA300HOU_RS00080 // USA300HOU_RS00075 // USA300HOU_RS00070 // USA300HOU_RS00065	USA300HOU_RS00080	20787	22187
USA300HOU_RS00085	USA300HOU_RS00085	USA300HOU_RS00085	22465	23748
USA300HOU_RS00090	USA300HOU_RS00095 // USA300HOU_RS00090	USA300HOU_RS00090	24178	24252
USA300HOU_RS00095	USA300HOU_RS00095 // USA300HOU_RS00090	USA300HOU_RS00095	24260	24332
USA300HOU_RS00100	USA300HOU_RS00115 // USA300HOU_RS00110 // USA300HOU_RS00105 // USA300HOU_RS00100	USA300HOU_RS00100	24952	25653
USA300HOU_RS00105	USA300HOU_RS00115 // USA300HOU_RS00110 // USA300HOU_RS00105 // USA300HOU_RS00100	USA300HOU_RS00105	25666	27492
USA300HOU_RS00110	USA300HOU_RS00115 // USA300HOU_RS00110 // USA300HOU_RS00105 // USA300HOU_RS00100	USA300HOU_RS00110	27485	28819
USA300HOU_RS00115	USA300HOU_RS00115 // USA300HOU_RS00110 // USA300HOU_RS00105 // USA300HOU_RS00100	USA300HOU_RS00115	28820	29608
USA300HOU_RS00120	USA300HOU_RS00120	USA300HOU_RS00120	29998	30798
USA300HOU_RS00125	USA300HOU_RS00125	USA300HOU_RS00125	31026	33344
USA300HOU_RS00130	USA300HOU_RS00130	USA300HOU_RS00130	33712	34191
USA300HOU_RS00135	USA300HOU_RS00135	USA300HOU_RS00135	34513	35769
USA300HOU_RS00140	USA300HOU_RS00140	USA300HOU_RS00140	35877	36551
USA300HOU_RS00150	USA300HOU_RS00150	USA300HOU_RS00150	37813	38556
USA300HOU_RS00155	USA300HOU_RS00155	USA300HOU_RS00155	38653	39081
USA300HOU_RS00160	USA300HOU_RS00160	USA300HOU_RS00160	39127	41136
USA300HOU_RS00165	USA300HOU_RS00165	USA300HOU_RS00165	41233	42219
USA300HOU_RS00170	USA300HOU_RS00170	USA300HOU_RS00170	42191	42451
USA300HOU_RS00175	USA300HOU_RS00185 // USA300HOU_RS00180 // USA300HOU_RS00175	USA300HOU_RS00175	42461	44097
USA300HOU_RS00180	USA300HOU_RS00185 // USA300HOU_RS00180 // USA300HOU_RS00175	USA300HOU_RS00180	44101	44607
